Analyst,,,,,,
Date Started,7/22/2025 10:42 AM  GMT: 7/22/2025 5:42 PM,,,,,
Worksheet,LC004999_24,,,,,
Comment,,,,,,
Methods,"Au,Au",,,,,
,,,,,,
Method: Au (Flame),,,,,,
,,,,,,
7/22/2025,11:14:02 AM,PATRON,0.8861,,mg/L,0.4
7/22/2025,11:14:16 AM,BLANCO,0.0073,,mg/L,28.1
7/22/2025,11:14:24 AM,REAGENT BLANK,0,,mg/L,22.4
7/22/2025,11:14:52 AM,LC004999-001,0.1251,,mg/L,0.8
7/22/2025,11:15:04 AM,LC004999-002,0.1822,,mg/L,0.1
7/22/2025,11:15:18 AM,LC004999-003,0.135,,mg/L,0.4
7/22/2025,11:15:32 AM,LC004999-004,-0.0085,,mg/L,11.9
7/22/2025,11:15:44 AM,LC004999-005,0.1331,,mg/L,0.7
7/22/2025,11:15:58 AM,LC004999-006,0.0944,,mg/L,1.3
7/22/2025,11:16:12 AM,PATRON,0.8831,,mg/L,0.6
7/22/2025,11:16:26 AM,LC004999-007,0.2304,,mg/L,1.2
7/22/2025,11:16:38 AM,LC004999-008,0.2185,,mg/L,1
7/22/2025,11:16:52 AM,LC004999-009,0.2749,,mg/L,0.3
7/22/2025,11:17:08 AM,LC004999-010,0.8004,,mg/L,0.1
7/22/2025,11:17:22 AM,LC004999-011,0.264,,mg/L,0.8
7/22/2025,11:18:44 AM,PATRON,0.8863,,mg/L,0.2
7/22/2025,11:18:56 AM,LC004999-013,0.4192,,mg/L,0.2
7/22/2025,11:19:10 AM,LC004999-014,0.5771,,mg/L,0.2
7/22/2025,11:19:22 AM,LC004999-015,0.1404,,mg/L,0.2
7/22/2025,11:19:38 AM,LC004999-016,0.4764,,mg/L,0.6
7/22/2025,11:19:52 AM,LC004999-017,0.6364,,mg/L,0.7
7/22/2025,11:20:20 AM,PATRON,0.8874,,mg/L,0.3
7/22/2025,11:20:38 AM,LC004999-019,0.113,,mg/L,0.9
7/22/2025,11:20:58 AM,LC004999-020,0.1065,,mg/L,0.8
7/22/2025,11:21:12 AM,LC004999-021,0.1074,,mg/L,1
7/22/2025,11:21:26 AM,LC004999-022,0.0928,,mg/L,0.4
7/22/2025,11:21:38 AM,LC004999-023,0.1026,,mg/L,0.7
7/22/2025,11:21:52 AM,LC004999-024,-0.0044,,mg/L,37.8
7/22/2025,11:22:06 AM,PATRON,0.8821,,mg/L,0.1
7/22/2025,11:22:14 AM,PATRON,0.8918,,mg/L,0.8
7/22/2025,11:22:28 AM,BLANCO,-0.0002,,mg/L,>100
7/22/2025,11:22:36 AM,REAGENT BLANK,0,,mg/L,>100
7/22/2025,11:23:14 AM,LC004999-012,-0.0077,,mg/L,17.1
7/22/2025,11:24:36 AM,LC004999-018,0.6428,,mg/L,0.9
,,,,,,
Method: Au AU ALTO (Flame),,,,,,
