Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Untitled 000,0.373
Comp. Cola Columna,Untitled 000,0.295
Barren,Untitled 000,0.261
Cabeza puntual retorno,Untitled 000,0.445
Celda # 11-A,Untitled 000,0.057
Celda # 11-B,Untitled 000,0.033
Celda # 11-C,Untitled 000,0.035
Celda # 6-F2,Untitled 000,0.508
Celda #5-9,Untitled 000,0.246
Celda #(F1+F2),Untitled 000,0.43
NE Tubo 1,Untitled 000,0.02
NE Tubo 2,Untitled 000,0.453
NE Tubo 4,Untitled 000,0.323
NE Tubo 5,Untitled 000,0.066
NE Tubo 6,Untitled 000,0.076
NE Tubo 7,Untitled 000,0.123
Puntual Noroeste,Untitled 000,0.397
Barren Patios,Untitled 000,0.277
Tubo 3,Untitled 000,0.697
Especial 1,Untitled 000,0.042
Especial 2,Untitled 000,0.031
Especial 3,Untitled 000,0.088
Especial 4,Untitled 000,0.128
Especial 5,Untitled 000,0.06
Especial 6,Untitled 000,0.021
