Analyst,,,,,,
Date Started,3/13/2025 8:13 PM  GMT: 3/14/2025 3:13 AM,,,,,
Worksheet,LC003991_24,,,,,
Comment,,,,,,
Methods,"Au,Au",,,,,
,,,,,,
Method: Au (Flame),,,,,,
,,,,,,
3/13/2025,8:27:32 PM,PATRON,0.8849,,mg/L,0.2
3/13/2025,8:27:46 PM,BLANCO,0.0041,,mg/L,>100
3/13/2025,8:27:56 PM,REAGENT BLANK,0,,mg/L,>100
3/13/2025,8:28:10 PM,LC003991-001,0.0233,,mg/L,7.6
3/13/2025,8:28:26 PM,LC003991-002,0.1943,,mg/L,0.5
3/13/2025,8:28:40 PM,LC003991-003,0.1564,,mg/L,0.5
3/13/2025,8:28:56 PM,LC003991-004,0.0093,,mg/L,6.6
3/13/2025,8:29:10 PM,LC003991-005,0.4465,,mg/L,0.3
3/13/2025,8:29:30 PM,LC003991-006,0.1019,,mg/L,1.1
3/13/2025,8:32:28 PM,PATRON,0.8988,,mg/L,0.5
3/13/2025,8:32:48 PM,LC003991-007,0.0719,,mg/L,1.5
3/13/2025,8:33:02 PM,LC003991-008,0.0201,,mg/L,3.6
3/13/2025,8:33:16 PM,LC003991-009,0.0638,,mg/L,3.1
3/13/2025,8:33:34 PM,LC003991-010,0.1006,,mg/L,1.3
3/13/2025,8:33:46 PM,LC003991-011,0.0212,,mg/L,7.6
3/13/2025,8:33:58 PM,LC003991-012,0.0221,,mg/L,5.2
3/13/2025,8:34:12 PM,PATRON,0.8868,,mg/L,0.6
3/13/2025,8:34:24 PM,LC003991-013,0.0697,,mg/L,1.2
3/13/2025,8:34:38 PM,LC003991-014,0.0043,,mg/L,15.4
3/13/2025,8:34:50 PM,LC003991-015,0.0063,,mg/L,6.2
3/13/2025,8:35:04 PM,LC003991-016,0.0688,,mg/L,0.7
3/13/2025,8:35:18 PM,LC003991-017,0.0894,,mg/L,0.5
3/13/2025,8:35:32 PM,LC003991-018,0.0944,,mg/L,0.5
3/13/2025,8:38:42 PM,PATRON,0.8747,,mg/L,0.7
3/13/2025,8:38:56 PM,LC003991-019,0.54,,mg/L,0.1
3/13/2025,8:39:12 PM,PATRON,0.877,,mg/L,0.5
3/13/2025,8:39:24 PM,BLANCO,0.0039,,mg/L,46.6
3/13/2025,8:39:42 PM,REAGENT BLANK,0,,mg/L,37.4
,,,,,,
Method: Au AU ALTO (Flame),,,,,,
