Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Untitled 000,1.401
Comp. Cola Columna,Untitled 000,0.953
Barren,Untitled 000,0.943
Cabeza puntual retorno,Untitled 000,1.376
Celda # 11-A,Untitled 000,0.119
Celda # 11-B,Untitled 000,4.219
Celda # 11-C,Untitled 000,1.229
Celda # 6-F2,Untitled 000,0.166
Celda #5-9,Untitled 000,0.03
Celda #(F1+F2),Untitled 000,1.208
NE Tubo 1,Untitled 000,2.627
NE Tubo 2,Untitled 000,0.55
NE Tubo 4,Untitled 000,2.008
NE Tubo 5,Untitled 000,1.311
NE Tubo 6,Untitled 000,0.255
NE Tubo 7,Untitled 000,1.069
Puntual Noroeste,Untitled 000,1.122
Barren Patios,Untitled 000,0.811
Tubo 3,Untitled 000,0.972
Especial 1,Untitled 000,0.054
Especial 2,Untitled 000,0.052
Especial 3,Untitled 000,0.069
Especial 4,Untitled 000,0.065
Especial 5,Untitled 000,0.041
Especial 6,Untitled 000,0.145
