Analista,,,,,,,,,,
Fecha de inicio,01/02/2023 09:50 p. m.  GMT: 02/02/2023 03:50 a. m.,,,,,,,,,
Hoja de trabajo,SA000211_3,,,,,,,,,
Comentario,,,,,,,,,,
Métodos,Au,,,,,,,,,
,,,,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,
,,,,,,,,,,
,CERO CAL,0,,mg/L,>100,-0.0004,0.0004,-0.0009,0,-0.0001
,PATRÓN 1,0.5,,mg/L,1.9,0.0178,-0.0018,0.0182,0.0177,0.0175
,PATRÓN 2,1,,mg/L,0.6,0.0347,-0.0011,0.0349,0.0348,0.0345
,PATRÓN 3,2,,mg/L,0.8,0.0702,-0.0011,0.0696,0.0704,0.0707
,PATRÓN 4,5,,mg/L,0.7,0.1749,-0.0009,0.1736,0.1761,0.175
,PATRÓN 5,10,,mg/L,0.2,0.3358,-0.0004,0.3351,0.3367,0.3358
,PATRON,0.4905,,mg/L,2.1,0.0173,-0.0013,0.0169,0.0175,0.0175
,BLANCO REACTIVO,0,,mg/L,7.5,-0.0012,-0.0005,-0.0013,-0.0011,-0.0012
,BLANCO,-0.0044,,mg/L,>100,-0.0002,0.0002,-0.0001,-0.0004,0.0001
,BLANCO REACTIVO,0,,mg/L,>100,0.0001,0.0002,0,-0.0001,0.0003
,SA000211-001,0.2148,,mg/L,2.4,0.0325,0.0004,0.0334,0.0322,0.0319
,SA000211-002,0.235,,mg/L,1.5,0.0355,0.0006,0.0349,0.036,0.0357
,SA000211-003,0.2381,,mg/L,0.1,0.036,0.0004,0.036,0.036,0.036
,SA000211-004,0.3995,,mg/L,0.3,0.0603,0.0009,0.0605,0.0602,0.0603
,SA000211-005,0.1357,,mg/L,0.8,0.0205,0.0008,0.0203,0.0206,0.0206
,PATRON,0.4914,,mg/L,3.2,0.0174,0.0003,0.0178,0.0167,0.0175
,SA000211-006,0.1553,,mg/L,1.6,0.0235,0.0006,0.0231,0.0236,0.0238
,SA000211-007,0.1066,,mg/L,2.5,0.0161,0.0008,0.016,0.0159,0.0166
,SA000211-008,0.107,,mg/L,3.4,0.0162,0.0007,0.0158,0.0168,0.016
,SA000211-009,0.1357,,mg/L,1.2,0.0205,0.0007,0.0203,0.0207,0.0207
,SA000211-010,0.1258,,mg/L,2.3,0.019,0.001,0.0194,0.0186,0.0191
,BLANCO REACTIVO,0,,mg/L,76.2,-0.0004,0.0007,-0.0005,-0.0006,0
,BLANCO,0.0013,,mg/L,>100,0,0.0009,0.0005,-0.0001,-0.0003
,PATRON,0.4929,,mg/L,1.4,0.0174,0.0008,0.0176,0.0171,0.0175
,SA000211-011,0.171,,mg/L,0.9,0.0259,0.0012,0.0261,0.0258,0.0257
,SA000211-012,0.1881,,mg/L,1,0.0285,0.0011,0.0285,0.0281,0.0287
,SA000211-013,0.1935,,mg/L,1.7,0.0293,0.0012,0.0291,0.0289,0.0298
,SA000211-014,0.1187,,mg/L,2.7,0.018,0.0014,0.0175,0.0179,0.0185
,SA000211-015,0.2629,,mg/L,1.2,0.0398,0.0014,0.0394,0.0403,0.0396
,PATRON,0.4864,,mg/L,2.2,0.0172,0.0009,0.0168,0.0173,0.0175
,SA000211-016,0.0658,,mg/L,3.4,0.01,0.0017,0.0099,0.0103,0.0097
,SA000211-017,0.0853,,mg/L,3,0.0129,0.0021,0.0133,0.0129,0.0125
,SA000211-018,0.1135,,mg/L,2.4,0.0172,0.0017,0.0167,0.0175,0.0174
,SA000211-019,0.1185,,mg/L,1,0.0179,0.0015,0.0181,0.0178,0.0179
,SA000211-020,-0.0042,,mg/L,33.5,-0.0006,0.0019,-0.0005,-0.0006,-0.0009
,CERO CAL,0,,mg/L,>100,0.0002,-0.0009,-0.0005,0.0004,0.0007
,PATRÓN 1,0.5,,mg/L,3.1,0.0168,-0.0006,0.0162,0.0171,0.0171
,PATRÓN 2,1,,mg/L,0.3,0.0331,-0.0004,0.0331,0.033,0.0331
,PATRÓN 3,2,,mg/L,0.5,0.0667,-0.0006,0.0665,0.0666,0.067
,PATRÓN 4,5,,mg/L,0.5,0.1639,0.0002,0.163,0.1644,0.1643
,PATRÓN 5,10,,mg/L,0.6,0.3147,0.0001,0.3159,0.3156,0.3125
,PATRON,0.4982,,mg/L,2,0.0167,-0.0003,0.0166,0.0164,0.017
,BLANCO,0.0078,,mg/L,>100,0.0003,-0.0002,0.0004,-0.0006,0.0009
,BLANCO REACTIVO,0,,mg/L,>100,0.0006,-0.0013,0.0011,-0.0002,0.001
,SA000211-021,0.3785,,mg/L,1.2,0.0541,-0.001,0.0548,0.0535,0.0539
,SA000211-022,0.3212,,mg/L,1.4,0.0459,-0.001,0.0452,0.0464,0.0462
,SA000211-023,0.4218,,mg/L,0.5,0.0602,-0.0013,0.0599,0.0601,0.0605
,SA000211-024,0.1487,,mg/L,1.1,0.0213,-0.001,0.0215,0.0213,0.0211
,SA000211-025,0.0613,,mg/L,7.3,0.0088,-0.0012,0.0086,0.0095,0.0083
,PATRON,0.5041,,mg/L,2.4,0.0169,-0.002,0.0164,0.017,0.0172
,SA000211-026,0.1095,,mg/L,2.9,0.0157,-0.0011,0.0161,0.0158,0.0152
,SA000211-027,0.2788,,mg/L,0.5,0.0399,-0.0012,0.0398,0.0397,0.0401
,SA000211-028,0.315,,mg/L,0.7,0.045,-0.0013,0.0448,0.0454,0.0449
,SA000211-029,0.0973,,mg/L,6.3,0.0139,-0.0008,0.0145,0.0129,0.0144
,SA000211-030,0.1154,,mg/L,2.9,0.0165,-0.0009,0.0163,0.0171,0.0163
,PATRON,0.4945,,mg/L,0.7,0.0165,-0.0015,0.0166,0.0164,0.0166
,BLANCO REACTIVO,0,,mg/L,>100,0,-0.0009,0,-0.0003,0.0002
,BLANCO,0.0042,,mg/L,>100,0.0001,-0.0009,0.0005,-0.0003,0.0003
,SA000211-031,0.0029,,mg/L,47.9,0.0004,-0.0006,0.0004,0.0002,0.0006
,SA000211-032,0.9327,,mg/L,0.4,0.1317,-0.0001,0.1321,0.1319,0.1311
,BLANCO,0.0024,,mg/L,>100,0.0001,-0.0008,0.0001,0.0003,-0.0002
,BLANCO REACTIVO,0,,mg/L,>100,-0.0001,-0.0008,-0.0003,-0.0001,0.0001
,PATRON,0.4859,,mg/L,1.5,0.0162,-0.0008,0.016,0.0164,0.0164
BLA,,,mg/L,,,,,,,
