LCQB-20231124-1T,Au,0.289
LCQB-20231124-1T-002,Au,0.292
LCQB-20231124-1T-003,Au,0.264
LCQB-20231124-1T-004,Au,0.269
LCQB-20231124-1T-005,Au,0.293
LCQB-20231124-1T-006,Au,0.221
LCQB-20231124-1T-007,Au,0.009
LCQB-20231124-1T,Ag,2.894
LCQB-20231124-1T-002,Ag,3.041
LCQB-20231124-1T-003,Ag,2.843
LCQB-20231124-1T-004,Ag,2.725
LCQB-20231124-1T-005,Ag,3.101
LCQB-20231124-1T-006,Ag,0.025
LCQB-20231124-1T-007,Ag,0.013
LCQB-20231124-1T,Cu,27.2
LCQB-20231124-1T-002,Cu,29.11
LCQB-20231124-1T-003,Cu,26.99
LCQB-20231124-1T-004,Cu,25.68
LCQB-20231124-1T-005,Cu,29.41
LCQB-20231124-1T-006,Cu,0.949
LCQB-20231124-1T-007,Cu,0.005
