Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Untitled 000,0.878
Comp. Cola Columna,Untitled 000,0.397
Barren,Untitled 000,0.409
Cabeza puntual retorno,Untitled 000,0.849
Columna #1,Untitled 000,0.798
Columna #2,Untitled 000,0.778
Columna #3,Untitled 000,0.718
Columna #4,Untitled 000,0.545
Columna #5,Untitled 000,0.436
Celda # 11-A,Untitled 000,0.091
Celda # 11-B,Untitled 000,0.065
Celda # 11-C,Untitled 000,0.042
Celda #5-9,Untitled 000,0.04
Celda #(F1+F2),Untitled 000,0.925
NE Tubo 1,Untitled 000,0.02
NE Tubo 2,Untitled 000,0.53
NE Tubo 4,Untitled 000,0.81
NE Tubo 5,Untitled 000,0.402
NE Tubo 6,Untitled 000,0.319
NE Tubo 7,Untitled 000,1.036
Puntual Noroeste,Untitled 000,0.915
Tubo 3,Untitled 000,1.429
Especial 1,Untitled 000,0.062
Especial 2,Untitled 000,0.063
Especial 3,Untitled 000,0.177
Especial 4,Untitled 000,0.283
Especial 5,Untitled 000,0.059
