Analista,FLAVIO,,,,,,,
Fecha de inicio,7/11/2022 1:23 PM  GMT: 7/11/2022 6:23 PM,,,,,,,
Hoja de trabajo,SA000059,,,,,,,
Comentario,,,,,,,,
Métodos,Ag,,,,,,,
,,,,,,,,
Método: Ag VHAA-Ag (Llama),,,,,,,,
,,,,,,,,
,PATRON,1.0058,,mg/L,0.1184,0.1181,0.1181,0.119
,BLANCO,-0.0044,,mg/L,-0.0005,-0.0014,-0.0002,0.0001
,BLANCO REACTIVO,0,,mg/L,-0.0004,0.0002,-0.0011,-0.0005
,SA000059-001,42.4254,,mg/L,0.1968,0.1959,0.197,0.1975
,SA000059-002,-0.0304,,mg/L,-0.0001,0,-0.0014,0.001
,SA000059-003,0.0823,,mg/L,0.0004,-0.0004,0.0005,0.0011
,SA000059-004,15.7953,,mg/L,0.0769,0.0771,0.0766,0.0769
,SA000059-005,11.5634,,mg/L,0.055,0.0554,0.0552,0.0544
,SA000059-006,11.6136,,mg/L,0.0554,0.0541,0.0556,0.0564
,SA000059-007,6.7148,,mg/L,0.0321,0.0323,0.0322,0.0318
,SA000059-008,6.0166,,mg/L,0.0288,0.0291,0.0291,0.0283
,SA000059-009,6.1805,,mg/L,0.0295,0.0294,0.0303,0.0289
,SA000059-010,25.3919,,mg/L,0.1236,0.1234,0.124,0.1233
,PATRON,1.0165,,mg/L,0.1196,0.1193,0.1208,0.1188
,BLANCO,0.0011,,mg/L,0.0001,-0.0002,0.0002,0.0004
,BLANCO REACTIVO,0,,mg/L,-0.0002,-0.0002,-0.0012,0.0008
