Analyst,,,,,
Date Started,2/21/2025 4:32 AM  GMT: 2/21/2025 11:32 AM,,,,
Worksheet,LC003794_24,,,,
Comment,,,,,
Methods,"Au,Au",,,,
,,,,,
Method: Au (Flame),,,,,
,,,,,
2/21/2025,4:41:44 AM,BLANCO,0.0114,,mg/L
2/21/2025,4:41:54 AM,REAGENT BLANK,0,,mg/L
2/21/2025,4:42:08 AM,LC003794-001,0.6136,,mg/L
2/21/2025,4:42:22 AM,LC003794-002,0.1352,,mg/L
2/21/2025,4:42:34 AM,LC003794-003,0.1407,,mg/L
2/21/2025,4:43:12 AM,LC003794-006,0.1663,,mg/L
2/21/2025,4:43:24 AM,PATRON,0.8913,,mg/L
2/21/2025,4:43:40 AM,LC003794-007,0.0486,,mg/L
2/21/2025,4:43:54 AM,LC003794-008,0.6416,,mg/L
2/21/2025,4:44:02 AM,LC003794-009,OVER,R,mg/L
2/21/2025,4:44:28 AM,LC003794-011,0.8223,,mg/L
2/21/2025,4:44:42 AM,LC003794-012,1.4353,,mg/L
2/21/2025,4:44:54 AM,PATRON,0.912,,mg/L
2/21/2025,4:45:08 AM,LC003794-013,0.0078,,mg/L
2/21/2025,4:45:20 AM,LC003794-014,0.0853,,mg/L
2/21/2025,4:45:34 AM,LC003794-015,0.4507,,mg/L
2/21/2025,4:45:46 AM,PATRON,0.8987,,mg/L
2/21/2025,4:45:58 AM,BLANCO,0.0131,,mg/L
2/21/2025,4:46:08 AM,REAGENT BLANK,0,,mg/L
2/21/2025,4:51:20 AM,LC003794-004,OVER,R,mg/L
2/21/2025,4:51:34 AM,LC003794-005,0.1482,,mg/L
2/21/2025,4:58:22 AM,PATRON,0.927,,mg/L
2/21/2025,4:58:38 AM,LC003794-010,0.0054,,mg/L
,,,,,
Method: Au AU ALTO (Flame),,,,,
,,,,,
,,,,,
2/21/2025,5:04:20 AM,LC003794-004,2.7435,,mg/L
2/21/2025,5:04:34 AM,LC003794-009,3.4661,,mg/L
