Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Ag 328.07,0.515
Cabeza puntual retorno,Ag 328.07,0.523
Celda #(F1+F2),Ag 328.07,0.614
Puntual Noroeste,Ag 328.07,0.598
Tubo 3,Ag 328.07,0.81
NE Tubo 2,Ag 328.07,0.102
NE Tubo 4,Ag 328.07,0.64
Especial 1,Ag 328.07,0.018
Especial 2,Ag 328.07,0.024
Especial 3,Ag 328.07,0.018
Especial 4,Ag 328.07,0.021
Especial 5,Ag 328.07,0.028
Columna #1,Ag 328.07,0.456
Columna #2,Ag 328.07,0.386
Columna #3,Ag 328.07,0.345
Columna #4,Ag 328.07,0.291
Columna #5,Ag 328.07,0.254
Comp. Cola Columna,Ag 328.07,0.247
Barren,Ag 328.07,0.246
Barren Patios,Ag 328.07,0.252
NE Tubo 1,Ag 328.07,0.323
NE Tubo 5,Ag 328.07,0.112
NE Tubo 6,Ag 328.07,0.018
NE Tubo 7,Ag 328.07,0.869
Celda # 11-A,Ag 328.07,0.023
Celda # 11-B,Ag 328.07,0.409
Celda # 11-C,Ag 328.07,0.019
Celda #5-9,Ag 328.07,0.021
