Analyst,,,,,,
Date Started,6/1/2025 9:09 AM  GMT: 6/1/2025 4:09 PM,,,,,
Worksheet,LC004635_24,,,,,
Comment,,,,,,
Methods,"Au,Au",,,,,
,,,,,,
Method: Au (Flame),,,,,,
,,,,,,
6/1/2025,9:21:02 AM,PATRON,0.912,,mg/L,0.9
6/1/2025,9:21:14 AM,BLANCO,-0.0072,,mg/L,77.3
6/1/2025,9:21:24 AM,REAGENT BLANK,0,,mg/L,61.2
6/1/2025,9:21:44 AM,LC004635-001,0.0053,,mg/L,7
6/1/2025,9:21:58 AM,LC004635-002,0.2529,,mg/L,0.8
6/1/2025,9:22:24 AM,LC004635-003,0.0835,,mg/L,0.9
6/1/2025,9:22:38 AM,LC004635-004,0.1683,,mg/L,0.3
6/1/2025,9:22:52 AM,LC004635-005,0.057,,mg/L,2.5
6/1/2025,9:23:04 AM,LC004635-006,0.0277,,mg/L,4.6
6/1/2025,9:23:20 AM,PATRON,0.8919,,mg/L,0.3
6/1/2025,9:23:40 AM,LC004635-007,0.1201,,mg/L,0.8
6/1/2025,9:23:56 AM,LC004635-008,0.0152,,mg/L,6.5
6/1/2025,9:24:10 AM,LC004635-009,0.1779,,mg/L,0.8
6/1/2025,9:24:24 AM,LC004635-010,0.8978,,mg/L,0.7
6/1/2025,9:24:40 AM,LC004635-011,0.4269,,mg/L,0.9
6/1/2025,9:24:56 AM,LC004635-012,0.2393,,mg/L,0.5
6/1/2025,9:25:14 AM,PATRON,0.8987,,mg/L,1.7
6/1/2025,9:26:02 AM,LC004635-015,0.0665,,mg/L,2.9
6/1/2025,9:26:14 AM,LC004635-016,0.0851,,mg/L,1.7
6/1/2025,9:26:36 AM,LC004635-017,1.6487,,mg/L,0.5
6/1/2025,9:26:50 AM,LC004635-018,0.1024,,mg/L,1.6
6/1/2025,9:27:04 AM,PATRON,0.8937,,mg/L,0.9
6/1/2025,9:27:18 AM,LC004635-019,0.0586,,mg/L,1.4
6/1/2025,9:27:34 AM,LC004635-020,0.0543,,mg/L,2.4
6/1/2025,9:27:46 AM,LC004635-021,0.0718,,mg/L,3.9
6/1/2025,9:28:00 AM,LC004635-022,0.1061,,mg/L,0.5
6/1/2025,9:28:14 AM,LC004635-023,0.3353,,mg/L,1
6/1/2025,9:28:40 AM,PATRON,0.8858,,mg/L,0.6
6/1/2025,9:28:50 AM,PATRON,0.8791,,mg/L,0.9
6/1/2025,9:29:00 AM,BLANCO,0.0186,,mg/L,16
6/1/2025,9:29:10 AM,REAGENT BLANK,0,,mg/L,44.2
6/1/2025,9:31:10 AM,LC004635-013,0.0058,,mg/L,26.8
6/1/2025,9:31:22 AM,LC004635-014,0.1305,,mg/L,1.1
6/1/2025,9:34:26 AM,LC004635-024,0.9112,,mg/L,0.2
,,,,,,
Method: Au AU ALTO (Flame),,,,,,
