Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Untitled 000,0.427
Comp. Cola Columna,Untitled 000,0.361
Barren,Untitled 000,0.334
Cabeza puntual retorno,Untitled 000,0.415
Celda # 11-A,Untitled 000,0.221
Celda # 11-B,Untitled 000,0.165
Celda # 11-C,Untitled 000,0.12
Celda # 6-F2,Untitled 000,0.118
Celda #5-9,Untitled 000,0.841
Celda #(F1+F2),Untitled 000,0.425
NE Tubo 1,Untitled 000,0.028
NE Tubo 2,Untitled 000,0.067
NE Tubo 4,Untitled 000,0.218
NE Tubo 5,Untitled 000,0.193
NE Tubo 6,Untitled 000,0.832
NE Tubo 7,Untitled 000,0.606
Puntual Noroeste,Untitled 000,0.381
Barren Patios,Untitled 000,0.274
Tubo 3,Untitled 000,0.543
Especial 1,Untitled 000,0.126
Especial 2,Untitled 000,0.041
Especial 3,Untitled 000,0.039
Especial 4,Untitled 000,0.038
Especial 5,Untitled 000,0.106
Especial 6,Untitled 000,0.025
