Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Au 242.80,0.072
Cabeza puntual retorno,Au 242.80,0.074
Celda #(F1+F2),Au 242.80,0.075
Puntual Noroeste,Au 242.80,0.06
Tubo 3,Au 242.80,0.055
NE Tubo 2,Au 242.80,0.04
NE Tubo 4,Au 242.80,0.072
Especial 1,Au 242.80,0.021
Especial 2,Au 242.80,0.038
Especial 3,Au 242.80,0.004
Especial 4,Au 242.80,0.002
Especial 5,Au 242.80,0.004
Comp. Cola Columna,Au 242.80,0.01
Barren,Au 242.80,0.008
Barren Patios,Au 242.80,0.006
NE Tubo 1,Au 242.80,0.016
NE Tubo 5,Au 242.80,0.105
NE Tubo 6,Au 242.80,0.097
NE Tubo 7,Au 242.80,0.073
Celda # 11-A,Au 242.80,0.041
Celda # 11-B,Au 242.80,0.017
Celda # 11-C,Au 242.80,0.005
Celda # 6-F2,Au 242.80,0.02
Celda #5-9,Au 242.80,0.024
