Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Untitled 000,0.542
Comp. Cola Columna,Untitled 000,0.345
Barren,Untitled 000,0.288
Cabeza puntual retorno,Untitled 000,0.540
Celda # 11-A,Untitled 000,1.565
Celda # 11-B,Untitled 000,0.219
Celda # 11-C,Untitled 000,0.046
Celda # 6-F2,Untitled 000,0.056
Celda #5-9,Untitled 000,0.666
Celda #(F1+F2),Untitled 000,0.484
NE Tubo 1,Untitled 000,0.029
NE Tubo 2,Untitled 000,0.277
NE Tubo 4,Untitled 000,0.271
NE Tubo 5,Untitled 000,0.087
NE Tubo 6,Untitled 000,0.609
NE Tubo 7,Untitled 000,0.340
Puntual Noroeste,Untitled 000,0.465
Barren Patios,Untitled 000,0.303
Tubo 3,Untitled 000,0.711
Especial 1,Untitled 000,1.996
Especial 2,Untitled 000,0.050
Especial 3,Untitled 000,0.044
Especial 4,Untitled 000,0.049
Especial 5,Untitled 000,0.083
