Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Untitled 000,0.627
Comp. Cola Columna,Untitled 000,0.297
Barren,Untitled 000,0.295
Cabeza puntual retorno,Untitled 000,0.628
Celda # 11-A,Untitled 000,0.107
Celda # 11-B,Untitled 000,0.079
Celda # 11-C,Untitled 000,0.041
Celda # 6-F2,Untitled 000,0.049
Celda #5-9,Untitled 000,0.03
Celda #(F1+F2),Untitled 000,0.624
NE Tubo 1,Untitled 000,0.023
NE Tubo 2,Untitled 000,0.202
NE Tubo 4,Untitled 000,0.242
NE Tubo 5,Untitled 000,0.071
NE Tubo 6,Untitled 000,0.195
NE Tubo 7,Untitled 000,1.178
Puntual Noroeste,Untitled 000,0.65
Barren Patios,Untitled 000,0.268
Tubo 3,Untitled 000,1.172
Especial 1,Untitled 000,0.069
Especial 2,Untitled 000,0.043
Especial 3,Untitled 000,0.794
Especial 4,Untitled 000,0.997
Especial 5,Untitled 000,0.117
