Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Au 242.80,0.081
Cabeza puntual retorno,Au 242.80,0.084
Celda #(F1+F2),Au 242.80,0.085
Puntual Noroeste,Au 242.80,0.096
Tubo 3,Au 242.80,0.147
NE Tubo 2,Au 242.80,0.033
NE Tubo 4,Au 242.80,0.082
Especial 1,Au 242.80,0.082
Especial 2,Au 242.80,0.065
Especial 3,Au 242.80,0.052
Especial 4,Au 242.80,0.063
Especial 5,Au 242.80,0.047
Comp. Cola Columna,Au 242.80,0.011
Barren,Au 242.80,0.014
Barren Patios,Au 242.80,0.019
NE Tubo 1,Au 242.80,0.029
NE Tubo 5,Au 242.80,0.062
NE Tubo 6,Au 242.80,0.041
NE Tubo 7,Au 242.80,0.076
Celda # 11-A,Au 242.80,0.019
Celda # 11-B,Au 242.80,0.007
Celda # 11-C,Au 242.80,0.023
Celda # 6-F2,Au 242.80,0.024
Celda #5-9,Au 242.80,0.024
