Analista,JUDAS,,,,
Fecha de inicio,9/14/2023 3:15 AM  GMT: 9/14/2023 10:15 AM,,,,
Hoja de trabajo,LC0012117_24,,,,
Comentario,,,,,
Métodos,"Au,Au",,,,
,,,,,
Método: Au (Llama),,,,,
,,,,,
9/14/2023,3:20:12 AM,PATRON,0.9228,,mg/L
9/14/2023,3:20:28 AM,BLANCO,0.0108,,mg/L
9/14/2023,3:20:44 AM,BLANCO REACTIVO REAG,0.0138,,mg/L
9/14/2023,3:21:00 AM,LC001217-001,0.0173,,mg/L
9/14/2023,3:21:12 AM,LC001217-002,0.0067,,mg/L
9/14/2023,3:21:24 AM,LC001217-003,0.0144,,mg/L
9/14/2023,3:21:50 AM,LC001217-004,0.0394,,mg/L
9/14/2023,3:22:08 AM,LC001217-005,0.0492,,mg/L
9/14/2023,3:22:20 AM,LC001217-006,0.0377,,mg/L
9/14/2023,3:22:32 AM,PATRON,0.918,,mg/L
9/14/2023,3:22:48 AM,LC001217-007,0.044,,mg/L
9/14/2023,3:22:58 AM,LC001217-008,0.0172,,mg/L
9/14/2023,3:24:04 AM,LC001217-009,0.0534,,mg/L
9/14/2023,3:24:16 AM,LC001217-010,0.0274,,mg/L
9/14/2023,3:24:30 AM,LC001217-011,0.0342,,mg/L
9/14/2023,3:24:44 AM,LC001217-012,0.0542,,mg/L
9/14/2023,3:25:52 AM,PATRON,0.8797,,mg/L
9/14/2023,3:26:08 AM,LC001217-013,0.016,,mg/L
9/14/2023,3:26:18 AM,LC001217-014,0.114,,mg/L
9/14/2023,3:26:32 AM,LC001217-015,0.003,,mg/L
9/14/2023,3:27:14 AM,LC001217-017,0.0019,,mg/L
9/14/2023,3:27:36 AM,LC001217-018,0.011,,mg/L
9/14/2023,3:27:48 AM,PATRON,0.8962,,mg/L
9/14/2023,3:28:06 AM,LC001217-019,0.046,,mg/L
9/14/2023,3:28:18 AM,LC001217-020,-0.0011,,mg/L
9/14/2023,3:28:32 AM,LC001217-021,0.0667,,mg/L
9/14/2023,3:28:42 AM,LC001217-022,0.0233,,mg/L
9/14/2023,3:29:58 AM,LC001217-016,0.9085,,mg/L
9/14/2023,3:30:12 AM,LC001217-023,0.4598,,mg/L
9/14/2023,3:30:30 AM,LC001217-024,0.0139,,mg/L
9/14/2023,3:36:04 AM,PATRON,0.8879,,mg/L
9/14/2023,3:36:54 AM,LC001217-025,0.0028,,mg/L
9/14/2023,3:37:10 AM,PATRON,0.878,,mg/L
9/14/2023,3:37:10 AM,BLANCO,,,mg/L
,,,,,
Método: Au AU ALTO (Llama),,,,,
