Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Untitled 000,1.783
Cabeza puntual retorno,Untitled 000,1.803
Celda #(F1+F2),Untitled 000,1.622
Puntual Noroeste,Untitled 000,1.586
Tubo 3,Untitled 000,2.467
Comp. Cola Columna,Untitled 000,1.094
Barren,Untitled 000,1.042
Celda # 11-A,Untitled 000,0.049
Celda # 11-B,Untitled 000,0.039
Celda # 11-C,Untitled 000,0.124
Celda #5-9,Untitled 000,5.478
NE Tubo 1,Untitled 000,0.060
NE Tubo 2,Untitled 000,0.043
NE Tubo 4,Untitled 000,0.039
NE Tubo 5,Untitled 000,0.104
NE Tubo 6,Untitled 000,0.023
NE Tubo 7,Untitled 000,0.583
Barren Patios,Untitled 000,0.888
Especial 1,Untitled 000,3.098
Especial 2,Untitled 000,3.084
Especial 3,Untitled 000,0.182
Especial 4,Untitled 000,0.025
Especial 5,Untitled 000,3.999
Columna #1,Untitled 000,1.403
Columna #2,Untitled 000,1.343
Columna #3,Untitled 000,1.290
Columna #4,Untitled 000,1.174
Columna #5,Untitled 000,1.031
