Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Au 242.80,0.076
Cabeza puntual retorno,Au 242.80,0.075
Celda #(F1+F2),Au 242.80,0.075
Puntual Noroeste,Au 242.80,0.075
Tubo 3,Au 242.80,0.133
Comp. Cola Columna,Au 242.80,0.003
Barren,Au 242.80,0.006
Celda # 11-A,Au 242.80,0.006
Celda # 11-B,Au 242.80,0.003
Celda # 11-C,Au 242.80,0.001
Celda # 6-F2,Au 242.80,0.029
Celda #5-9,Au 242.80,0.024
NE Tubo 1,Au 242.80,0.008
NE Tubo 2,Au 242.80,0.033
NE Tubo 4,Au 242.80,0.039
NE Tubo 5,Au 242.80,0.039
NE Tubo 6,Au 242.80,0.019
NE Tubo 7,Au 242.80,0.04
Barren Patios,Au 242.80,0.008
Especial 1,Au 242.80,0.214
Especial 2,Au 242.80,0.023
Especial 3,Au 242.80,0.017
Especial 4,Au 242.80,0.02
Especial 5,Au 242.80,0.024
