Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Untitled 000,0.420
Cabeza puntual retorno,Untitled 000,0.505
Celda #(F1+F2),Untitled 000,0.384
Puntual Noroeste,Untitled 000,0.434
Tubo 3,Untitled 000,0.230
Comp. Cola Columna,Untitled 000,0.270
Barren,Untitled 000,0.322
Celda # 11-A,Untitled 000,1.589
Celda # 11-B,Untitled 000,0.219
Celda # 11-C,Untitled 000,0.032
Celda #5-9,Untitled 000,0.196
NE Tubo 1,Untitled 000,0.018
NE Tubo 2,Untitled 000,0.277
NE Tubo 4,Untitled 000,0.809
NE Tubo 5,Untitled 000,0.801
NE Tubo 6,Untitled 000,0.717
NE Tubo 7,Untitled 000,0.154
Barren Patios,Untitled 000,0.261
Especial 1,Untitled 000,0.033
Especial 2,Untitled 000,0.069
Especial 3,Untitled 000,0.023
Especial 4,Untitled 000,0.033
Especial 5,Untitled 000,0.062
Columna #1,Untitled 000,0.403
Columna #2,Untitled 000,0.388
Columna #3,Untitled 000,0.370
Columna #4,Untitled 000,0.354
Columna #5,Untitled 000,0.319
