Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Au 242.80,0.130
Comp. Cola Columna,Au 242.80,0.002
Barren,Au 242.80,0.019
Cabeza puntual retorno,Au 242.80,0.126
Celda # 11-A,Au 242.80,0.025
Celda # 11-B,Au 242.80,0.009
Celda # 11-C,Au 242.80,0.003
Celda # 6-F2,Au 242.80,0.049
Celda #(F1+F2),Au 242.80,0.128
NE Tubo 1,Au 242.80,0.001
NE Tubo 2,Au 242.80,0.051
NE Tubo 4,Au 242.80,0.100
NE Tubo 5,Au 242.80,0.038
NE Tubo 6,Au 242.80,0.031
NE Tubo 7,Au 242.80,0.093
Puntual Noroeste,Au 242.80,0.125
Tubo 3,Au 242.80,0.200
Especial 1,Au 242.80,0.037
Especial 2,Au 242.80,0.018
Especial 3,Au 242.80,0.054
Especial 4,Au 242.80,0.034
Especial 5,Au 242.80,0.018
Celda #5-9,Au 242.80,0.010
Barren Patios,Au 242.80,0.016
