Analista,,,,,,
Fecha de inicio,21/12/2025 03:07 a. m.  GMT: 21/12/2025 10:07 a. m.,,,,,
Hoja de trabajo,EXP000191_24-RE,,,,,
Comentario,,,,,,
Métodos,"Au,Au",,,,,
,,,,,,
Método: Au (Llama),,,,,,
,,,,,,
21/12/2025,03:33:52 a. m.,PATRON,0.4579,,mg/L,0.5
21/12/2025,03:34:06 a. m.,BLANCO,-0.0104,,mg/L,48.1
21/12/2025,03:34:16 a. m.,REAGENT BLANK,0,,mg/L,14.2
21/12/2025,03:36:16 a. m.,EXP000186-008,0.1022,,mg/L,2.9
21/12/2025,03:36:30 a. m.,EXP000186-009,0.2335,,mg/L,0.9
21/12/2025,03:36:46 a. m.,EXP000186-010,0.3722,,mg/L,1.4
21/12/2025,03:36:58 a. m.,EXP000186-012,OVER,R,mg/L,0
21/12/2025,03:37:50 a. m.,EXP000186-014,0.3924,,mg/L,0.6
21/12/2025,03:38:04 a. m.,EXP000186-015,0.1721,,mg/L,0.3
21/12/2025,03:41:46 a. m.,PATRON,0.455,,mg/L,0.6
21/12/2025,03:41:58 a. m.,BLANCO,-0.0137,,mg/L,30.7
21/12/2025,03:42:08 a. m.,REAGENT BLANK,0,,mg/L,51.2
,,,,,,
Método: Au AU ALTO (Llama),,,,,,
,,,,,,
,,,,,,
21/12/2025,03:44:58 a. m.,EXP000186-012,3.5118,,mg/L,0.7
21/12/2025,03:44:58 a. m.,BLANCO,,,mg/L,
