"Analista",""
"Fecha de inicio","8/30/2023 11:29 AM  GMT: 8/30/2023 6:29 PM"
"Hoja de trabajo","LC001096-RCK_24"
"Comentario",""
"Métodos","Au,Au"

"Método: Au (Llama)"

"8/30/2023","1:00:46 PM","PATRON",0.9076,"","mg/L"
"8/30/2023","1:02:04 PM","BLANCO",0.0026,"","mg/L"
"8/30/2023","1:02:14 PM","BLANCO REACTIVO REAG",0.0106,"","mg/L"
"8/30/2023","1:02:30 PM","LC001096-001",0.0284,"","mg/L"
"8/30/2023","1:02:44 PM","LC001096-002",0.0390,"","mg/L"
"8/30/2023","1:03:00 PM","LC001096-003",0.0049,"","mg/L"
"8/30/2023","1:03:12 PM","LC001096-004",0.2014,"","mg/L"
"8/30/2023","1:04:00 PM","LC001096-005",0.1975,"","mg/L"
"8/30/2023","1:04:12 PM","LC001096-006",0.9099,"","mg/L"
"8/30/2023","1:06:04 PM","PATRON",0.9006,"","mg/L"
"8/30/2023","1:06:06 PM","PATRON","","","mg/L"

"Método: Au AU ALTO (Llama)"

