Analista,JCAN,,,,,,,,,
Fecha de inicio,09/02/2023 03:17 p. m.  GMT: 09/02/2023 09:17 p. m.,,,,,,,,,
Hoja de trabajo,SA000315_3,,,,,,,,,
Comentario,,,,,,,,,,
Métodos,Au,,,,,,,,,
,,,,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,
,,,,,,,,,,
,PATRON,0.5071,,mg/L,2.8,0.014,-0.0001,0.0141,0.0144,0.0136
,BLANCO,-0.008,,mg/L,47.5,-0.0002,0.0002,-0.0001,-0.0002,-0.0003
,BLANCO REACTIVO,0,,mg/L,15.2,-0.0011,0.0011,-0.001,-0.001,-0.0013
,SA000315-001,0.0843,,mg/L,3.9,0.01,0.0023,0.0104,0.0097,0.0098
,SA000315-002,0.0528,,mg/L,2.8,0.0062,0.0025,0.0063,0.0063,0.006
,SA000315-003,0.1112,,mg/L,1.6,0.0132,0.0021,0.0132,0.013,0.0134
,SA000315-004,0.0858,,mg/L,0.7,0.0101,0.0022,0.0102,0.0101,0.0101
,SA000315-005,0.056,,mg/L,0.6,0.0066,0.0025,0.0066,0.0066,0.0065
,PATRON,0.5141,,mg/L,1.9,0.0142,0.0019,0.0141,0.014,0.0145
,SA000315-006,0.0372,,mg/L,3.7,0.0043,0.0024,0.0045,0.0043,0.0042
,SA000315-007,0.0881,,mg/L,3.6,0.0104,0.0022,0.01,0.0106,0.0106
,SA000315-008,0.1438,,mg/L,1.2,0.0171,0.0024,0.0172,0.0172,0.0169
,SA000315-009,0.1054,,mg/L,0.9,0.0124,0.0024,0.0124,0.0126,0.0123
,SA000315-010,0.4191,,mg/L,0.4,0.0517,0.0023,0.0516,0.0515,0.0519
,PATRON,0.5171,,mg/L,2.4,0.0143,0.002,0.0147,0.0141,0.0141
,BLANCO,0.0027,,mg/L,>100,0.0001,0.0021,0.0004,0,-0.0002
,BLANCO REACTIVO,0,,mg/L,24.9,-0.0009,0.0009,-0.0011,-0.0007,-0.001
,SA000315-011,0.166,,mg/L,0.6,0.0198,0.0023,0.0199,0.0199,0.0197
,SA000315-012,0.2342,,mg/L,0.8,0.0282,0.0023,0.0285,0.028,0.0283
,SA000315-013,0.1694,,mg/L,0.7,0.0202,0.0022,0.0203,0.0201,0.0204
,SA000315-014,0.2499,,mg/L,0.3,0.0302,0.0024,0.0302,0.0302,0.0303
,SA000315-015,0.2212,,mg/L,1.1,0.0266,0.0023,0.0269,0.0266,0.0264
,PATRON,0.5095,,mg/L,1.4,0.0141,0.0018,0.0143,0.0141,0.0139
,SA000315-016,0.9538,,mg/L,0.9,0.1232,0.0022,0.1244,0.1232,0.1221
,SA000315-017,0.2391,,mg/L,1.8,0.0289,0.0023,0.0294,0.0287,0.0285
,SA000315-018,0.6999,,mg/L,0.3,0.0891,0.0027,0.0888,0.0892,0.0893
,SA000315-019,0.1308,,mg/L,6.6,0.0156,0.0021,0.0168,0.015,0.015
,SA000315-020,0.0811,,mg/L,1.1,0.0096,0.0021,0.0095,0.0097,0.0095
,PATRON,0.5212,,mg/L,0.4,0.0144,0.0015,0.0144,0.0144,0.0145
,BLANCO,0.0012,,mg/L,>100,0,0.0017,0.0002,0.0002,-0.0004
,BLANCO REACTIVO,0,,mg/L,12.9,-0.0009,0.0008,-0.0009,-0.001,-0.0008
,SA000315-021,0.176,,mg/L,0.5,0.0211,0.0022,0.0211,0.0211,0.021
,SA000315-022,0.2833,,mg/L,0.8,0.0345,0.0021,0.0346,0.0342,0.0347
,SA000315-023,0.5282,,mg/L,0.3,0.0661,0.0022,0.066,0.066,0.0664
,SA000315-024,0.5792,,mg/L,0.3,0.073,0.0025,0.0728,0.073,0.0733
,SA000315-025,0.116,,mg/L,2,0.0137,0.0019,0.014,0.0135,0.0137
,PATRON,0.5136,,mg/L,1.8,0.0142,0.0017,0.0145,0.014,0.014
,SA000315-026,0.1155,,mg/L,0.9,0.0186,0.0018,0.0184,0.0188,0.0186
,SA000315-027,0.0392,,mg/L,4,0.0046,0.0022,0.0045,0.0045,0.0048
,SA000315-028,0.01,,mg/L,9.3,0.0012,0.002,0.0011,0.0013,0.0011
,SA000315-029,0.9665,,mg/L,0.3,0.1117,0.0024,0.1114,0.1115,0.112
,SA000315-030,0.033,,mg/L,5.1,0.0039,0.002,0.0041,0.0038,0.0037
,PATRON,0.5175,,mg/L,2,0.0143,0.0017,0.0146,0.0141,0.0141
,BLANCO,0.0101,,mg/L,35.9,0.0003,0.0017,0.0004,0.0003,0.0002
,BLANCO REACTIVO,0,,mg/L,26.5,-0.0008,0.0009,-0.001,-0.0007,-0.0006
,SA000315-031,0.0094,,mg/L,15.2,0.0011,0.0018,0.0011,0.0013,0.0009
,SA000315-032,0.102,,mg/L,1.2,0.012,0.002,0.0121,0.0122,0.0119
,PATRON,0.515,,mg/L,1.3,0.0142,0.0013,0.0143,0.0143,0.014
