Analyst,,,,,,
Date Started,3/11/2025 5:04 AM  GMT: 3/11/2025 12:04 PM,,,,,
Worksheet,LC003964_24,,,,,
Comment,,,,,,
Methods,"Au,Au",,,,,
,,,,,,
Method: Au (Flame),,,,,,
,,,,,,
3/11/2025,5:17:16 AM,REAGENT BLANK,0,,mg/L,6.5
3/11/2025,5:17:26 AM,LC003964-001,OVER,R,mg/L,0
3/11/2025,5:17:44 AM,LC003964-002,0.2798,,mg/L,1.5
3/11/2025,5:17:58 AM,LC003964-003,0.0627,,mg/L,0.5
3/11/2025,5:18:12 AM,LC003964-004,0.0903,,mg/L,0.8
3/11/2025,5:18:26 AM,LC003964-005,0.2171,,mg/L,0.6
3/11/2025,5:21:24 AM,PATRON,0.8897,,mg/L,0.5
3/11/2025,5:21:40 AM,BLANCO,0.0002,,mg/L,>100
3/11/2025,5:21:58 AM,LC003964-006,0.016,,mg/L,2.6
3/11/2025,5:22:12 AM,PATRON,0.8828,,mg/L,0.8
3/11/2025,5:22:26 AM,LC003964-007,0.0215,,mg/L,5
3/11/2025,5:22:40 AM,LC003964-008,0.0071,,mg/L,23.8
3/11/2025,5:22:58 AM,LC003964-009,0.0761,,mg/L,0.2
3/11/2025,5:23:12 AM,LC003964-010,0.0093,,mg/L,7.3
3/11/2025,5:23:26 AM,LC003964-011,0.0429,,mg/L,1.7
3/11/2025,5:23:40 AM,LC003964-012,0.1222,,mg/L,0.6
3/11/2025,5:23:54 AM,PATRON,0.8789,,mg/L,0.2
3/11/2025,5:24:08 AM,LC003964-013,0.3735,,mg/L,0.9
3/11/2025,5:24:24 AM,LC003964-014,0.3573,,mg/L,0.5
3/11/2025,5:24:38 AM,LC003964-015,0.0533,,mg/L,2.2
3/11/2025,5:24:52 AM,LC003964-016,0.0305,,mg/L,1
3/11/2025,5:25:06 AM,LC003964-017,0.0754,,mg/L,2.1
3/11/2025,5:25:20 AM,LC003964-018,0.0069,,mg/L,8.3
3/11/2025,5:25:34 AM,PATRON,0.8845,,mg/L,0.5
3/11/2025,5:25:48 AM,LC003964-019,0.1092,,mg/L,1.1
3/11/2025,5:26:02 AM,LC003964-020,0.9618,,mg/L,0.6
3/11/2025,5:26:16 AM,PATRON,0.8763,,mg/L,0.8
3/11/2025,5:27:52 AM,BLANCO,-0.0021,,mg/L,>100
3/11/2025,5:28:02 AM,REAGENT BLANK,0,,mg/L,69.1
,,,,,,
Method: Au AU ALTO (Flame),,,,,,
,,,,,,
,,,,,,
3/11/2025,5:35:58 AM,LC003964-001,3.5298,,mg/L,0.6
