Analyst,,,,,,
Date Started,5/23/2025 10:42 PM  GMT: 5/24/2025 5:42 AM,,,,,
Worksheet,LC004535_24,,,,,
Comment,,,,,,
Methods,"Au,Au",,,,,
,,,,,,
Method: Au (Flame),,,,,,
,,,,,,
5/23/2025,10:48:32 PM,PATRON,0.8939,,mg/L,0.6
5/23/2025,10:48:44 PM,BLANCO,0.005,,mg/L,54.9
5/23/2025,10:48:54 PM,REAGENT BLANK,0,,mg/L,>100
5/23/2025,10:49:16 PM,LC004535-001,0.6385,,mg/L,0.6
5/23/2025,10:49:32 PM,LC004535-002,0.0034,,mg/L,41.3
5/23/2025,10:49:46 PM,LC004535-003,0.0805,,mg/L,1.5
5/23/2025,10:49:58 PM,LC004535-004,0.1933,,mg/L,1.8
5/23/2025,10:50:12 PM,LC004535-005,0.0911,,mg/L,1.1
5/23/2025,10:50:24 PM,LC004535-006,0.1394,,mg/L,1.4
5/23/2025,10:50:38 PM,PATRON,0.8874,,mg/L,1.2
5/23/2025,10:51:56 PM,LC004535-007,0.0687,,mg/L,1.3
5/23/2025,10:52:12 PM,LC004535-008,0.0502,,mg/L,3.9
5/23/2025,10:52:40 PM,LC004535-010,0.1313,,mg/L,1.1
5/23/2025,10:52:52 PM,LC004535-011,0.0169,,mg/L,4.6
5/23/2025,10:53:30 PM,LC004535-012,0.5612,,mg/L,0.7
5/23/2025,10:53:42 PM,PATRON,0.9055,,mg/L,1.7
5/23/2025,10:54:00 PM,LC004535-013,0.1762,,mg/L,1.4
5/23/2025,10:54:12 PM,LC004535-014,0.4378,,mg/L,0.9
5/23/2025,10:54:26 PM,LC004535-015,0.0666,,mg/L,2.7
5/23/2025,10:54:38 PM,LC004535-016,0.0814,,mg/L,1.1
5/23/2025,10:54:52 PM,LC004535-017,0.0613,,mg/L,1.7
5/23/2025,10:55:08 PM,LC004535-018,0.0774,,mg/L,3.7
5/23/2025,10:55:20 PM,PATRON,0.9055,,mg/L,0.8
5/23/2025,10:55:34 PM,LC004535-019,0.1804,,mg/L,1.4
5/23/2025,10:55:46 PM,PATRON,0.9068,,mg/L,0.3
5/23/2025,10:55:56 PM,BLANCO,0.0456,,mg/L,6.1
5/23/2025,10:56:12 PM,REAGENT BLANK,0,,mg/L,10.7
5/23/2025,10:58:26 PM,LC004535-009,0.9074,,mg/L,0.2
,,,,,,
Method: Au AU ALTO (Flame),,,,,,
