Sample ID,Analyte Name,Reported Conc (Samp)
Columna #1,Untitled 000,0.397
Columna #2,Untitled 000,0.381
Columna #3,Untitled 000,0.330
Columna #4,Untitled 000,0.277
Columna #5,Untitled 000,0.226
Comp. Cabeza Columna,Untitled 000,0.449
Comp. Cola Columna,Untitled 000,0.251
Barren,Untitled 000,0.317
Cabeza puntual retorno,Untitled 000,0.423
Celda # 11-A,Untitled 000,1.716
Celda # 11-B,Untitled 000,0.115
Celda # 11-C,Untitled 000,0.018
Celda #5-9,Untitled 000,0.221
Celda #(F1+F2),Untitled 000,0.245
NE Tubo 1,Untitled 000,0.019
NE Tubo 2,Untitled 000,0.122
NE Tubo 4,Untitled 000,0.088
NE Tubo 5,Untitled 000,0.040
NE Tubo 6,Untitled 000,0.019
NE Tubo 7,Untitled 000,0.321
Puntual Noroeste,Untitled 000,0.279
Barren Patios,Untitled 000,0.264
Tubo 3,Untitled 000,0.339
Especial 1,Untitled 000,0.105
Especial 2,Untitled 000,0.059
Especial 3,Untitled 000,2.667
Especial 4,Untitled 000,0.372
Especial 5,Untitled 000,0.088
