Analyst,,,,,,
Date Started,5/21/2025 4:41 AM  GMT: 5/21/2025 11:41 AM,,,,,
Worksheet,LC004514_24,,,,,
Comment,,,,,,
Methods,"Au,Au",,,,,
,,,,,,
Method: Au (Flame),,,,,,
,,,,,,
5/21/2025,4:45:36 AM,PATRON,0.9107,,mg/L,0.8
5/21/2025,4:45:50 AM,BLANCO,0.0014,,mg/L,>100
5/21/2025,4:46:00 AM,REAGENT BLANK,0,,mg/L,51.6
5/21/2025,4:46:12 AM,LC004514-001,0.074,,mg/L,1.7
5/21/2025,4:46:26 AM,LC004514-002,0.6519,,mg/L,1.1
5/21/2025,4:46:40 AM,LC004514-003,0.0118,,mg/L,2
5/21/2025,4:46:54 AM,LC004514-004,0.0329,,mg/L,3.4
5/21/2025,4:47:10 AM,LC004514-005,0.133,,mg/L,0.2
5/21/2025,4:47:24 AM,LC004514-006,0.0773,,mg/L,2.6
5/21/2025,4:47:38 AM,PATRON,0.9255,,mg/L,0.3
5/21/2025,4:47:54 AM,LC004514-007,0.01,,mg/L,3.8
5/21/2025,4:48:10 AM,LC004514-008,0.1394,,mg/L,0.5
5/21/2025,4:48:26 AM,LC004514-009,0.0075,,mg/L,26.7
5/21/2025,4:49:00 AM,LC004514-011,0.2957,,mg/L,0.6
5/21/2025,4:49:16 AM,LC004514-012,0.5291,,mg/L,0.7
5/21/2025,4:49:30 AM,PATRON,0.9241,,mg/L,0.1
5/21/2025,4:49:46 AM,LC004514-013,0.1093,,mg/L,3.1
5/21/2025,4:50:00 AM,LC004514-014,0.1049,,mg/L,0.2
5/21/2025,4:50:14 AM,LC004514-015,0.3989,,mg/L,1.1
5/21/2025,4:50:30 AM,LC004514-016,1.3851,,mg/L,0.5
5/21/2025,4:50:44 AM,LC004514-017,0.1027,,mg/L,0.3
5/21/2025,4:50:58 AM,LC004514-018,0.1282,,mg/L,1.7
5/21/2025,4:51:16 AM,PATRON,0.8993,,mg/L,1
5/21/2025,4:51:28 AM,PATRON,0.9036,,mg/L,1
5/21/2025,4:51:56 AM,REAGENT BLANK,0,,mg/L,20.6
5/21/2025,4:52:14 AM,BLANCO,0.0122,,mg/L,16.8
5/21/2025,4:53:04 AM,LC004514-010,0.2812,,mg/L,0.2
,,,,,,
Method: Au AU ALTO (Flame),,,,,,
