Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Untitled 000,2.091
Comp. Cola Columna,Untitled 000,1.397
Barren,Untitled 000,1.347
Cabeza puntual retorno,Untitled 000,1.947
Celda # 11-A,Untitled 000,0.175
Celda # 11-B,Untitled 000,0.047
Celda # 11-C,Untitled 000,0.036
Celda # 6-F2,Untitled 000,0.034
Celda #5-9,Untitled 000,0.552
Celda #(F1+F2),Untitled 000,2.254
NE Tubo 1,Untitled 000,0.031
NE Tubo 2,Untitled 000,1.384
NE Tubo 4,Untitled 000,2.192
NE Tubo 5,Untitled 000,1.122
NE Tubo 6,Untitled 000,2.94
NE Tubo 7,Untitled 000,0.39
Puntual Noroeste,Untitled 000,2.254
Barren Patios,Untitled 000,1.427
Tubo 3,Untitled 000,2.366
Especial 1,Untitled 000,0.119
Especial 2,Untitled 000,0.044
Especial 3,Untitled 000,0.252
Especial 4,Untitled 000,1.189
Especial 5,Untitled 000,0.069
