Analista,JUDAS,,,,
Fecha de inicio,8/24/2023 10:51 PM  GMT: 8/25/2023 5:51 AM,,,,
Hoja de trabajo,LC001044_24,,,,
Comentario,,,,,
Métodos,"Au,Au",,,,
,,,,,
Método: Au (Llama),,,,,
,,,,,
8/24/2023,11:58:00 PM,PATRON,0.9178,,mg/L
8/24/2023,11:58:20 PM,BLANCO,-0.0089,,mg/L
8/24/2023,11:58:32 PM,BLANCO REACTIVO REAG,-0.0065,,mg/L
8/25/2023,12:10:52 AM,LC001044-001,0.1943,,mg/L
8/24/2023,11:59:06 PM,LC001044-002,0.1969,,mg/L
8/24/2023,11:59:28 PM,LC001044-003,0.0046,,mg/L
8/24/2023,11:59:44 PM,LC001044-004,0.1995,,mg/L
8/25/2023,12:00:00 AM,LC001044-005,0.2675,,mg/L
8/25/2023,12:00:18 AM,LC001044-006,0.3326,,mg/L
8/25/2023,12:00:30 AM,PATRON,0.8919,,mg/L
8/25/2023,12:00:50 AM,LC001044-007,0.2598,,mg/L
8/25/2023,12:01:08 AM,LC001044-008,0.1976,,mg/L
8/25/2023,12:01:22 AM,LC001044-009,0.2189,,mg/L
8/25/2023,12:01:36 AM,LC001044-010,0.1525,,mg/L
8/25/2023,12:01:50 AM,LC001044-011,0.3192,,mg/L
8/25/2023,12:02:02 AM,LC001044-012,0.5446,,mg/L
8/25/2023,12:03:52 AM,PATRON,0.91,,mg/L
8/25/2023,12:04:10 AM,LC001044-013,0.0628,,mg/L
8/25/2023,12:04:28 AM,LC001044-014,0.0877,,mg/L
8/25/2023,12:04:50 AM,LC001044-015,0.9661,,mg/L
8/25/2023,12:05:12 AM,LC001044-016,0.0277,,mg/L
8/25/2023,12:05:22 AM,LC001044-017,0.5736,,mg/L
8/25/2023,12:05:36 AM,LC001044-018,0.0422,,mg/L
8/25/2023,12:05:50 AM,PATRON,0.9093,,mg/L
8/25/2023,12:06:06 AM,LC001044-019,0.0191,,mg/L
8/25/2023,12:06:18 AM,LC001044-020,0.2967,,mg/L
8/25/2023,12:06:32 AM,LC001044-021,0.0834,,mg/L
8/25/2023,12:06:46 AM,LC001044-022,1.0196,,mg/L
8/25/2023,12:07:02 AM,LC001044-023,0.2349,,mg/L
8/25/2023,12:07:18 AM,LC001044-024,0.0452,,mg/L
8/25/2023,12:07:34 AM,PATRON,0.9108,,mg/L
8/25/2023,12:07:54 AM,DUP,0.0355,,mg/L
8/25/2023,12:08:08 AM,BCO,0.0014,,mg/L
8/25/2023,12:10:52 AM,ESP SE-PLT-AL12-486676,,,mg/L
,,,,,
Método: Au AU ALTO (Llama),,,,,
