Analyst,,,,,,
Date Started,5/26/2025 7:56 PM  GMT: 5/27/2025 2:56 AM,,,,,
Worksheet,LC004552_24,,,,,
Comment,,,,,,
Methods,"Au,Au",,,,,
,,,,,,
Method: Au (Flame),,,,,,
,,,,,,
5/26/2025,8:35:08 PM,PATRON,0.9047,,mg/L,0.4
5/26/2025,8:35:18 PM,BLANCO,0.0148,,mg/L,56.5
5/26/2025,8:35:28 PM,REAGENT BLANK,0,,mg/L,51.7
5/26/2025,8:36:10 PM,LC004552-003,0.1004,,mg/L,1.2
5/26/2025,8:36:26 PM,LC004552-004,0.0779,,mg/L,0.6
5/26/2025,8:36:40 PM,LC004552-005,0.3183,,mg/L,1.1
5/26/2025,8:36:52 PM,LC004552-006,0.2733,,mg/L,0.7
5/26/2025,8:37:06 PM,PATRON,0.9074,,mg/L,0
5/26/2025,8:37:20 PM,LC004552-007,0.0053,,mg/L,30.8
5/26/2025,8:37:34 PM,LC004552-008,0.0184,,mg/L,13.6
5/26/2025,8:37:46 PM,LC004552-009,0.0075,,mg/L,29.2
5/26/2025,8:38:00 PM,LC004552-010,0.0636,,mg/L,0.7
5/26/2025,8:38:12 PM,LC004552-011,0.1253,,mg/L,0.5
5/26/2025,8:38:26 PM,PATRON,0.8969,,mg/L,0.8
5/26/2025,8:38:38 PM,BLANCO,0.0074,,mg/L,44.8
5/26/2025,8:38:48 PM,REAGENT BLANK,0,,mg/L,12.1
5/26/2025,8:39:44 PM,LC004552-001,0.1747,,mg/L,0.8
5/26/2025,8:39:56 PM,LC004552-002,0.1481,,mg/L,2.4
,,,,,,
Method: Au AU ALTO (Flame),,,,,,
