Sample ID,Analyte Name,Reported Conc (Samp)
Columna #1,Au 242.80,0.054
Columna #2,Au 242.80,0.033
Columna #3,Au 242.80,0.027
Columna #4,Au 242.80,0.018
Columna #5,Au 242.80,0.009
Comp. Cabeza Columna,Au 242.80,0.072
Cabeza puntual retorno,Au 242.80,0.07
Celda # 11-A,Au 242.80,0.087
Celda #(F1+F2),Au 242.80,0.054
NE Tubo 6,Au 242.80,0.063
NE Tubo 7,Au 242.80,0.106
Puntual Noroeste,Au 242.80,0.053
Tubo 3,Au 242.80,0.071
Especial 1,Au 242.80,0.173
Especial 2,Au 242.80,0.236
Especial 5,Au 242.80,0.16
Comp. Cola Columna,Au 242.80,0.009
Barren,Au 242.80,0.009
Celda # 11-B,Au 242.80,0.007
Celda # 11-C,Au 242.80,0.016
Celda #5-9,Au 242.80,0.036
NE Tubo 1,Au 242.80,0.008
NE Tubo 2,Au 242.80,0.021
NE Tubo 4,Au 242.80,0.028
NE Tubo 5,Au 242.80,0.023
Barren Patios,Au 242.80,0.016
Especial 3,Au 242.80,0.023
Especial 4,Au 242.80,0.026
