Sample ID,Analyte Name,Reported Conc (Samp)
Cabeza puntual retorno,Au 242.80,0.068
Celda #(F1+F2),Au 242.80,0.067
Puntual Noroeste,Au 242.80,0.065
Tubo 3,Au 242.80,0.096
Comp. Cabeza Columna,Au 242.80,0.067
Comp. Cola Columna,Au 242.80,0.004
Barren,Au 242.80,0.007
Celda # 11-A,Au 242.80,0.026
Celda # 11-B,Au 242.80,0.052
Celda # 11-C,Au 242.80,0.078
Celda # 6-F2,Au 242.80,0.08
Celda #5-9,Au 242.80,0.021
NE Tubo 1,Au 242.80,0.002
NE Tubo 2,Au 242.80,0.073
NE Tubo 4,Au 242.80,0.017
NE Tubo 5,Au 242.80,0.017
NE Tubo 6,Au 242.80,0.01
NE Tubo 7,Au 242.80,0.036
Barren Patios,Au 242.80,0.011
Especial 1,Au 242.80,0.083
Especial 2,Au 242.80,0.061
Especial 3,Au 242.80,0.018
Especial 4,Au 242.80,0.013
Especial 5,Au 242.80,0.15
