Analyst,,,,,,
Date Started,10/11/2025 10:21 PM  GMT: 10/12/2025 5:21 AM,,,,,
Worksheet,LC005543_24,,,,,
Comment,,,,,,
Methods,"Au,Au",,,,,
,,,,,,
Method: Au (Flame),,,,,,
,,,,,,
10/11/2025,10:39:06 PM,PATRON,0.8907,,mg/L,0.3
10/11/2025,10:39:30 PM,BLANCO,0.0047,,mg/L,58.3
10/11/2025,10:39:40 PM,REAGENT BLANK,0,,mg/L,18.8
10/11/2025,10:40:02 PM,LC005543-001,0.0357,,mg/L,3.2
10/11/2025,10:40:14 PM,LC005543-002,0.0358,,mg/L,3.3
10/11/2025,10:40:26 PM,LC005543-003,0.4556,,mg/L,0.4
10/11/2025,10:40:40 PM,LC005543-004,0.3321,,mg/L,0.4
10/11/2025,10:40:54 PM,LC005543-005,0.3575,,mg/L,0.2
10/11/2025,10:41:08 PM,LC005543-006,1.0542,,mg/L,0.2
10/11/2025,10:43:18 PM,PATRON,0.8997,,mg/L,0.3
10/11/2025,10:43:44 PM,LC005543-007,0.4721,,mg/L,0.3
10/11/2025,10:43:58 PM,LC005543-008,0.0057,,mg/L,17.2
10/11/2025,10:44:12 PM,LC005543-009,0.4087,,mg/L,0.4
10/11/2025,10:44:26 PM,LC005543-010,0.3939,,mg/L,0.4
10/11/2025,10:44:40 PM,LC005543-011,0.3,,mg/L,0.5
10/11/2025,10:44:54 PM,LC005543-012,0.1195,,mg/L,1.1
10/11/2025,10:45:08 PM,PATRON,0.8851,,mg/L,1
10/11/2025,10:45:20 PM,LC005543-013,0.0144,,mg/L,1.4
10/11/2025,10:45:34 PM,LC005543-014,0.063,,mg/L,0.8
10/11/2025,10:45:50 PM,LC005543-015,0.0737,,mg/L,1.1
10/11/2025,10:46:04 PM,LC005543-016,0.0089,,mg/L,12.2
10/11/2025,10:46:16 PM,LC005543-017,0.3049,,mg/L,0.8
10/11/2025,10:46:30 PM,LC005543-018,0.2293,,mg/L,1.3
10/11/2025,10:46:46 PM,PATRON,0.8792,,mg/L,0.2
10/11/2025,10:46:58 PM,LC005543-019,0.3097,,mg/L,0.2
10/11/2025,10:47:12 PM,LC005543-020,0.2071,,mg/L,0.4
10/11/2025,10:47:24 PM,LC005543-021,0.0289,,mg/L,4.4
10/11/2025,10:47:38 PM,LC005543-022,0.0374,,mg/L,4.8
10/11/2025,10:47:52 PM,LC005543-023,0.2057,,mg/L,0.8
10/11/2025,10:48:08 PM,LC005543-024,0.1162,,mg/L,0.6
10/11/2025,10:48:22 PM,PATRON,0.8863,,mg/L,0.7
10/11/2025,10:48:32 PM,PATRON,0.8893,,mg/L,0.7
10/11/2025,10:48:46 PM,BLANCO,0.0177,,mg/L,11.2
10/11/2025,10:48:56 PM,REAGENT BLANK,0,,mg/L,16.4
,,,,,,
Method: Au AU ALTO (Flame),,,,,,
