Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Untitled 000,0.544
Cabeza puntual retorno,Untitled 000,0.52
Celda #(F1+F2),Untitled 000,0.544
Puntual Noroeste,Untitled 000,0.588
Tubo 3,Untitled 000,0.422
NE Tubo 2,Untitled 000,0.919
NE Tubo 4,Untitled 000,0.391
Especial 1,Untitled 000,0.089
Especial 2,Untitled 000,0.218
Especial 3,Untitled 000,0.039
Especial 4,Untitled 000,0.032
Especial 5,Untitled 000,0.067
Columna #1,Untitled 000,0.439
Columna #2,Untitled 000,0.412
Columna #3,Untitled 000,0.383
Columna #4,Untitled 000,0.347
Columna #5,Untitled 000,0.278
Comp. Cola Columna,Untitled 000,0.294
Barren,Untitled 000,0.267
Barren Patios,Untitled 000,0.258
NE Tubo 1,Untitled 000,0.208
NE Tubo 5,Untitled 000,0.104
NE Tubo 6,Untitled 000,0.16
NE Tubo 7,Untitled 000,1.385
Celda # 11-A,Untitled 000,0.097
Celda # 11-B,Untitled 000,0.403
Celda # 11-C,Untitled 000,0.034
Celda #5-9,Untitled 000,0.058
