Analista,,,,,,
Fecha de inicio,12/11/2025 04:19 a. m.  GMT: 12/11/2025 11:19 a. m.,,,,,
Hoja de trabajo,LC005772-RE_24,,,,,
Comentario,,,,,,
Métodos,"Au,Au",,,,,
,,,,,,
Método: Au (Llama),,,,,,
,,,,,,
12/11/2025,04:35:18 a. m.,PATRON,0.883,,mg/L,0.2
12/11/2025,04:35:32 a. m.,BLANCO,0.0109,,mg/L,39.5
12/11/2025,04:35:42 a. m.,REAGENT BLANK,0,,mg/L,25.3
12/11/2025,04:35:54 a. m.,LC005763-005,0.0764,,mg/L,1.8
12/11/2025,04:36:08 a. m.,LC005763-006,0.0497,,mg/L,2.4
12/11/2025,04:36:20 a. m.,LC005763-007,0.631,,mg/L,0.5
12/11/2025,04:36:34 a. m.,LC005763-008,0.8041,,mg/L,0.2
12/11/2025,04:36:46 a. m.,LC005763-010,0.0809,,mg/L,1.3
12/11/2025,04:40:40 a. m.,LC005763-011,0.1616,,mg/L,1.3
12/11/2025,04:40:54 a. m.,PATRON,0.8858,,mg/L,1
12/11/2025,04:41:08 a. m.,LC005763-012,0.0329,,mg/L,3.5
12/11/2025,04:41:22 a. m.,PATRON,0.8921,,mg/L,0.5
12/11/2025,04:41:34 a. m.,BLANCO,0.0086,,mg/L,29.9
12/11/2025,04:41:44 a. m.,REAGENT BLANK,0,,mg/L,22.3
,,,,,,
Método: Au AU ALTO (Llama),,,,,,
