Analyst,,,,,
Date Started,2/23/2025 10:27 PM  GMT: 2/24/2025 5:27 AM,,,,
Worksheet,LC003821_24,,,,
Comment,,,,,
Methods,"Au,Au",,,,
,,,,,
Method: Au (Flame),,,,,
,,,,,
2/23/2025,10:35:20 PM,PATRON,0.9019,,mg/L
2/23/2025,10:36:00 PM,BLANCO,0.0007,,mg/L
2/23/2025,10:36:22 PM,REAGENT BLANK,0,,mg/L
2/23/2025,10:37:00 PM,LC003821-001,0.2054,,mg/L
2/23/2025,10:37:12 PM,LC003821-002,0.2295,,mg/L
2/23/2025,10:37:26 PM,LC003821-003,0.1857,,mg/L
2/23/2025,10:37:42 PM,LC003821-004,0.2535,,mg/L
2/23/2025,10:37:56 PM,LC003821-005,0.1267,,mg/L
2/23/2025,10:38:10 PM,LC003821-006,0.1268,,mg/L
2/23/2025,10:38:30 PM,PATRON,0.9,,mg/L
2/23/2025,10:38:50 PM,LC003821-007,0.4573,,mg/L
2/23/2025,10:39:16 PM,LC003821-008,0.1009,,mg/L
2/23/2025,10:39:30 PM,LC003821-009,0.1408,,mg/L
2/23/2025,10:41:00 PM,LC003821-010,0.1796,,mg/L
2/23/2025,10:41:14 PM,LC003821-011,0.8964,,mg/L
2/23/2025,10:41:30 PM,LC003821-012,0.0491,,mg/L
2/23/2025,10:41:46 PM,PATRON,0.9035,,mg/L
2/23/2025,10:42:04 PM,LC003821-013,0.0444,,mg/L
2/23/2025,10:42:18 PM,LC003821-014,0.1508,,mg/L
2/23/2025,10:42:32 PM,LC003821-015,0.0013,,mg/L
2/23/2025,10:42:46 PM,LC003821-016,0.1363,,mg/L
2/23/2025,10:43:00 PM,LC003821-017,0.1354,,mg/L
2/23/2025,10:43:14 PM,LC003821-018,0.0936,,mg/L
2/23/2025,10:43:30 PM,PATRON,0.8815,,mg/L
2/23/2025,10:43:52 PM,LC003821-019,0.1536,,mg/L
2/23/2025,10:44:06 PM,LC003821-020,0.1946,,mg/L
2/23/2025,10:44:20 PM,LC003821-021,-0.0001,,mg/L
2/23/2025,10:44:32 PM,LC003821-022,0.1889,,mg/L
2/23/2025,10:44:46 PM,LC003821-023,0.1879,,mg/L
2/23/2025,10:45:02 PM,LC003821-024,0.004,,mg/L
2/23/2025,10:45:20 PM,PATRON,0.8714,,mg/L
2/23/2025,10:45:34 PM,BLANCO,-0.0006,,mg/L
2/23/2025,10:45:48 PM,REAGENT BLANK,0,,mg/L
2/23/2025,10:46:00 PM,BLANCO REACTIVO REAG,-0.004,,mg/L
,,,,,
Method: Au AU ALTO (Flame),,,,,
