Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Untitled 000,1.024
Comp. Cola Columna,Untitled 000,0.616
Barren,Untitled 000,0.576
Cabeza puntual retorno,Untitled 000,1.012
Celda # 11-A,Untitled 000,2.088
Celda # 11-B,Untitled 000,0.133
Celda # 11-C,Untitled 000,0.064
Celda # 6-F2,Untitled 000,0.088
Celda #5-9,Untitled 000,0.050
Celda #(F1+F2),Untitled 000,0.912
NE Tubo 1,Untitled 000,0.026
NE Tubo 2,Untitled 000,1.073
NE Tubo 4,Untitled 000,1.477
NE Tubo 5,Untitled 000,0.937
NE Tubo 6,Untitled 000,1.534
NE Tubo 7,Untitled 000,0.512
Puntual Noroeste,Untitled 000,0.952
Barren Patios,Untitled 000,0.519
Tubo 3,Untitled 000,0.483
Especial 1,Untitled 000,0.125
Especial 2,Untitled 000,0.070
Especial 3,Untitled 000,0.316
Especial 4,Untitled 000,0.261
Especial 5,Untitled 000,0.067
