"Analyst","CD"
"Date Started","6/30/2025 2:09 AM  GMT: 6/30/2025 9:09 AM"
"Worksheet","LC004846_24"
"Comment",""
"Methods","Au,Au"

"Method: Au (Flame)"

"6/30/2025","2:26:12 AM","PATRON",0.9148,"","mg/L",1.1
"6/30/2025","2:26:28 AM","BLANCO",0.0011,"","mg/L",">100"
"6/30/2025","2:26:38 AM","REAGENT BLANK",0.0000,"","mg/L",15.4
"6/30/2025","2:26:52 AM","LC004846-001",0.0626,"","mg/L",4.5
"6/30/2025","2:27:06 AM","LC004846-002",0.1386,"","mg/L",2.0
"6/30/2025","2:27:16 AM","LC004846-003",0.0454,"","mg/L",3.7
"6/30/2025","2:27:28 AM","LC004846-004",0.0503,"","mg/L",4.9
"6/30/2025","2:27:40 AM","LC004846-005",0.2241,"","mg/L",1.6
"6/30/2025","2:27:52 AM","LC004846-006",0.1378,"","mg/L",2.8
"6/30/2025","2:28:06 AM","PATRON",0.9090,"","mg/L",1.1
"6/30/2025","2:28:20 AM","LC004846-007",0.0034,"","mg/L",33.4
"6/30/2025","2:28:32 AM","LC004846-008",0.1045,"","mg/L",1.6
"6/30/2025","2:28:44 AM","LC004846-009",-0.0001,"","mg/L",">100"
"6/30/2025","2:28:56 AM","LC004846-010",0.2948,"","mg/L",1.1
"6/30/2025","2:29:18 AM","LC004846-012",0.3332,"","mg/L",0.3
"6/30/2025","2:29:30 AM","PATRON",0.8910,"","mg/L",0.6
"6/30/2025","2:29:46 AM","LC004846-013",0.0731,"","mg/L",3.8
"6/30/2025","2:29:54 AM","LC004846-014","OVER","R","mg/L",0.0
"6/30/2025","2:30:06 AM","LC004846-015",0.0022,"","mg/L",74.6
"6/30/2025","2:30:18 AM","LC004846-016",0.1216,"","mg/L",1.4
"6/30/2025","2:30:30 AM","PATRON",0.9008,"","mg/L",0.4
"6/30/2025","2:31:44 AM","LC004846-011",0.2772,"","mg/L",1.1
"6/30/2025","2:31:44 AM","BLANCO","","","mg/L",""

"Method: Au AU ALTO (Flame)"


"6/30/2025","2:34:30 AM","PATRON",0.9039,"","mg/L",0.4
"6/30/2025","2:34:42 AM","BLANCO",0.0006,"","mg/L",">100"
"6/30/2025","2:34:56 AM","LC004846-014",2.2528,"","mg/L",0.4
"6/30/2025","2:34:56 AM","REAGENT BLANK","","","mg/L",""
