"Analyst",""
"Date Started","10/3/2025 2:19 AM  GMT: 10/3/2025 9:19 AM"
"Worksheet","EXP000136"
"Comment",""
"Methods","Au,Au"

"Method: Au (Flame)"

"10/3/2025","2:55:10 AM","PATRON",0.8934,"","mg/L",0.9
"10/3/2025","2:55:24 AM","BLANCO",0.0052,"","mg/L",32.3
"10/3/2025","2:55:36 AM","REAGENT BLANK",0.0000,"","mg/L",">100"
"10/3/2025","2:55:52 AM","EXP000136-001",0.0429,"","mg/L",2.0
"10/3/2025","2:56:12 AM","EXP000136-002",0.0385,"","mg/L",2.4
"10/3/2025","2:56:36 AM","EXP000136-003",0.0601,"","mg/L",1.1
"10/3/2025","2:56:54 AM","EXP000136-004",0.5537,"","mg/L",0.7
"10/3/2025","2:57:12 AM","EXP000136-005",0.0048,"","mg/L",5.3
"10/3/2025","2:57:26 AM","EXP000136-006",0.1800,"","mg/L",1.6
"10/3/2025","2:57:38 AM","PATRON",0.8732,"","mg/L",0.8
"10/3/2025","2:58:12 AM","EXP000136-008",0.0618,"","mg/L",1.4
"10/3/2025","2:59:26 AM","EXP000136-007",1.0572,"","mg/L",14.6
"10/3/2025","2:59:46 AM","EXP000136-009",0.1151,"","mg/L",0.9
"10/3/2025","3:00:02 AM","EXP000136-010",0.0483,"","mg/L",0.9
"10/3/2025","3:00:16 AM","EXP000136-011",0.4347,"","mg/L",0.6
"10/3/2025","3:00:30 AM","EXP000136-012",0.0193,"","mg/L",2.0
"10/3/2025","3:00:44 AM","PATRON",0.8776,"","mg/L",0.7
"10/3/2025","3:01:00 AM","EXP000136-013",0.0234,"","mg/L",5.6
"10/3/2025","3:01:14 AM","EXP000136-014",0.0103,"","mg/L",16.8
"10/3/2025","3:01:30 AM","EXP000136-015",0.0173,"","mg/L",14.1
"10/3/2025","3:01:48 AM","EXP000136-016",0.0066,"","mg/L",12.4
"10/3/2025","3:02:04 AM","EXP000136-017",0.0016,"","mg/L",95.9
"10/3/2025","3:02:20 AM","EXP000136-018",0.0487,"","mg/L",1.3
"10/3/2025","3:02:38 AM","PATRON",0.8806,"","mg/L",0.7
"10/3/2025","3:03:02 AM","EXP000136-019",0.1871,"","mg/L",0.7
"10/3/2025","3:03:22 AM","EXP000136-020",0.0050,"","mg/L",23.0
"10/3/2025","3:03:34 AM","EXP000136-021",0.3344,"","mg/L",0.8
"10/3/2025","3:03:46 AM","EXP000136-022",0.3298,"","mg/L",0.5
"10/3/2025","3:03:58 AM","EXP000136-023",0.0490,"","mg/L",1.5
"10/3/2025","3:04:12 AM","EXP000136-024",0.0174,"","mg/L",5.2
"10/3/2025","3:05:30 AM","PATRON",0.8821,"","mg/L",0.8
"10/3/2025","3:05:46 AM","BLANCO",0.0071,"","mg/L",51.7
"10/3/2025","3:05:54 AM","REAGENT BLANK",0.0000,"","mg/L",">100"
"10/3/2025","3:06:08 AM","REAGENT BLANK",0.0000,"","mg/L",43.9
"10/3/2025","3:06:08 AM","Muestra 035","","","mg/L",""

"Method: Au AU ALTO (Flame)"

