Analyst,,,,,,
Date Started,9/21/2025 1:06 AM  GMT: 9/21/2025 8:06 AM,,,,,
Worksheet,LC005403_24,,,,,
Comment,,,,,,
Methods,"Au,Au",,,,,
,,,,,,
Method: Au (Flame),,,,,,
,,,,,,
9/21/2025,1:40:10 AM,PATRON,0.8971,,mg/L,0.2
9/21/2025,1:40:26 AM,BLANCO,0.0157,,mg/L,21.3
9/21/2025,1:40:38 AM,REAGENT BLANK,0,,mg/L,9.3
9/21/2025,1:41:00 AM,LC005403-001,0.0372,,mg/L,3.1
9/21/2025,1:41:14 AM,LC005403-002,0.0572,,mg/L,1.5
9/21/2025,1:41:28 AM,LC005403-003,0.0524,,mg/L,2.9
9/21/2025,1:41:40 AM,LC005403-004,0.0421,,mg/L,4.5
9/21/2025,1:42:00 AM,LC005403-005,0.2171,,mg/L,0.4
9/21/2025,1:42:14 AM,LC005403-006,1.4698,,mg/L,0.9
9/21/2025,1:42:28 AM,PATRON,0.8933,,mg/L,0.3
9/21/2025,1:42:50 AM,LC005403-007,0.1254,,mg/L,0.8
9/21/2025,1:43:04 AM,LC005403-008,0.2145,,mg/L,0.3
9/21/2025,1:43:22 AM,LC005403-009,0.0058,,mg/L,9
9/21/2025,1:43:36 AM,LC005403-010,0.158,,mg/L,1.8
9/21/2025,1:43:52 AM,LC005403-011,0.1645,,mg/L,0.4
9/21/2025,1:44:08 AM,LC005403-012,0.1219,,mg/L,0.4
9/21/2025,1:44:22 AM,PATRON,0.8858,,mg/L,0.3
9/21/2025,1:44:38 AM,LC005403-013,0.1237,,mg/L,0.5
9/21/2025,1:44:50 AM,LC005403-014,0.0581,,mg/L,1.5
9/21/2025,1:45:04 AM,LC005403-015,0.0167,,mg/L,6.5
9/21/2025,1:45:18 AM,LC005403-016,0.5643,,mg/L,0.4
9/21/2025,1:45:32 AM,LC005403-017,0.3247,,mg/L,1.2
9/21/2025,1:45:48 AM,LC005403-018,0.0569,,mg/L,2.1
9/21/2025,1:46:02 AM,PATRON,0.884,,mg/L,1.7
9/21/2025,1:46:16 AM,LC005403-019,1.1575,,mg/L,0.7
9/21/2025,1:46:30 AM,LC005403-020,0.0135,,mg/L,4.4
9/21/2025,1:46:46 AM,LC005403-021,0.0769,,mg/L,2.2
9/21/2025,1:47:00 AM,LC005403-022,0.0605,,mg/L,0.4
9/21/2025,1:47:18 AM,LC005403-023,0.0217,,mg/L,6.9
9/21/2025,1:47:30 AM,LC005403-024,0.0218,,mg/L,3.3
9/21/2025,1:47:46 AM,PATRON,0.8771,,mg/L,0.5
9/21/2025,1:48:04 AM,PATRON,0.8863,,mg/L,1
9/21/2025,1:49:20 AM,BLANCO,0.0004,,mg/L,>100
9/21/2025,1:49:30 AM,REAGENT BLANK,0,,mg/L,4.1
,,,,,,
Method: Au AU ALTO (Flame),,,,,,
