Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Untitled 000,1.252
Comp. Cola Columna,Untitled 000,0.707
Barren,Untitled 000,0.624
Cabeza puntual retorno,Untitled 000,1.238
Celda # 11-A,Untitled 000,3.110
Celda # 11-B,Untitled 000,0.389
Celda # 11-C,Untitled 000,0.189
Celda #5-9,Untitled 000,0.258
Celda #(F1+F2),Untitled 000,1.240
NE Tubo 1,Untitled 000,0.032
NE Tubo 2,Untitled 000,0.508
NE Tubo 4,Untitled 000,2.862
NE Tubo 5,Untitled 000,2.316
NE Tubo 6,Untitled 000,1.285
NE Tubo 7,Untitled 000,0.741
Puntual Noroeste,Untitled 000,1.250
Barren Patios,Untitled 000,0.598
Tubo 3,Untitled 000,0.461
Especial 1,Untitled 000,0.123
Especial 2,Untitled 000,0.086
Especial 3,Untitled 000,0.154
Especial 4,Untitled 000,0.189
Especial 5,Untitled 000,0.304
Columna #1,Untitled 000,1.146
Columna #2,Untitled 000,1.098
Columna #3,Untitled 000,1.025
Columna #4,Untitled 000,0.906
Columna #5,Untitled 000,0.661
