Analista,FLAVIO,,,,,,,
Fecha de inicio,7/9/2022 10:38 AM  GMT: 7/9/2022 3:38 PM,,,,,,,
Hoja de trabajo,SA000047,,,,,,,
Comentario,,,,,,,,
Métodos,Ag,,,,,,,
,,,,,,,,
Método: Ag VHAA-Ag (Llama),,,,,,,,
,,,,,,,,
,PATRON,1.0052,,mg/L,0.1161,0.1159,0.1161,0.1162
,BLANCO,0.0086,,mg/L,0.001,0.0006,-0.0001,0.0024
,BLANCO REACTIVO,0,,mg/L,0.0007,0.0012,0.001,-0.0001
,SA000047-001,1.076,,mg/L,0.005,0.005,0.0043,0.0056
,SA000047-002,1.2414,,mg/L,0.0058,0.0068,0.0051,0.0054
,SA000047-003,1.3322,,mg/L,0.0062,0.0054,0.0061,0.0071
,SA000047-004,-0.0184,,mg/L,-0.0001,0.0004,-0.0002,-0.0005
,SA000047-005,0.8155,,mg/L,0.0038,0.0028,0.0044,0.0041
,SA000047-006,0.8736,,mg/L,0.004,0.0051,0.0042,0.0029
,SA000047-007,1.1173,,mg/L,0.0052,0.0061,0.0046,0.0048
,SA000047-008,0.8541,,mg/L,0.004,0.0047,0.0038,0.0034
,SA000047-009,1.3394,,mg/L,0.0062,0.0065,0.0061,0.0061
,SA000047-010,-0.1974,,mg/L,-0.0009,-0.0016,-0.0011,0
,PATRON,0.9803,,mg/L,0.1132,0.114,0.1137,0.1119
,BLANCO,-0.0091,,mg/L,-0.0011,-0.0005,-0.0023,-0.0004
,BLANCO REACTIVO,0,,mg/L,-0.0007,-0.0008,-0.0013,-0.0001
,SA000047-011,1.2014,,mg/L,0.0056,0.0059,0.0055,0.0053
,SA000047-012,1.3317,,mg/L,0.0062,0.0063,0.0051,0.0071
,SA000047-013,1.9203,,mg/L,0.0089,0.0087,0.0089,0.009
,SA000047-014,1.474,,mg/L,0.0068,0.0066,0.0073,0.0066
,SA000047-015,0.0718,,mg/L,0.0003,0.0003,0.0005,0.0002
,SA000047-016,1.1257,,mg/L,0.0052,0.0061,0.0049,0.0047
,SA000047-017,1.2792,,mg/L,0.0059,0.0053,0.0067,0.0058
,SA000047-018,-0.1049,,mg/L,-0.0005,-0.0008,-0.0004,-0.0003
,SA000047-019,14.008,,mg/L,0.0652,0.0658,0.0655,0.0642
,PATRON,0.9931,,mg/L,0.1147,0.1154,0.115,0.1137
,BLANCO,-0.0033,,mg/L,-0.0004,-0.0011,-0.0001,0
,BLANCO REACTIVO,0,,mg/L,-0.0001,-0.0004,0.0001,0.0001
