Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Au 242.80,0.082
Cabeza puntual retorno,Au 242.80,0.081
Celda # 6-F2,Au 242.80,0.2
Celda #5-9,Au 242.80,0.057
Celda #(F1+F2),Au 242.80,0.081
NE Tubo 1,Au 242.80,0.005
NE Tubo 2,Au 242.80,0.151
NE Tubo 4,Au 242.80,0.055
NE Tubo 5,Au 242.80,0.04
NE Tubo 6,Au 242.80,0.008
NE Tubo 7,Au 242.80,0.016
Puntual Noroeste,Au 242.80,0.073
Tubo 3,Au 242.80,0.077
Especial 1,Au 242.80,0.052
Especial 2,Au 242.80,0.041
Especial 3,Au 242.80,0.001
Especial 4,Au 242.80,0.021
Especial 5,Au 242.80,0.042
Comp. Cola Columna,Au 242.80,0.005
Barren,Au 242.80,0.007
Celda # 11-A,Au 242.80,0.002
Celda # 11-B,Au 242.80,0.001
Celda # 11-C,Au 242.80,0.001
Barren Patios,Au 242.80,0.009
