Analista,,,,,,,,,,
Fecha de inicio,24/01/2023 05:18 a. m.  GMT: 24/01/2023 11:18 a. m.,,,,,,,,,
Hoja de trabajo,SA000138_3,,,,,,,,,
Comentario,,,,,,,,,,
Métodos,Au,,,,,,,,,
,,,,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,
,,,,,,,,,,
,CERO CAL,0,,mg/L,>100,0.0002,0,0.0001,-0.0001,0.0006
,PATRÓN 1,0.5,,mg/L,0.9,0.016,-0.0002,0.016,0.0162,0.0159
,PATRÓN 2,1,,mg/L,1.6,0.0346,-0.0001,0.034,0.0347,0.0351
,PATRÓN 3,2,,mg/L,6.8,0.0662,-0.0003,0.065,0.0712,0.0624
,PATRÓN 4,5,,mg/L,0.4,0.1655,-0.0002,0.1646,0.1659,0.1659
,PATRÓN 5,10,,mg/L,0.2,0.3217,0.0002,0.3211,0.3218,0.3224
,BLANCO,0.002,,mg/L,>100,0.0001,0.0003,-0.0001,0.0001,0.0002
,BLANCO REACTIVO,0,,mg/L,8.3,0.0006,-0.0001,0.0005,0.0006,0.0006
,PATRON,0.4956,,mg/L,3.4,0.0162,-0.0009,0.0169,0.0159,0.016
,SA000138-001,0.2365,,mg/L,1.7,0.0335,-0.0002,0.034,0.0335,0.0329
,SA000138-002,0.2186,,mg/L,0.4,0.0309,-0.0003,0.031,0.0309,0.0308
,SA000138-003,0.2221,,mg/L,0.2,0.0314,-0.0002,0.0314,0.0314,0.0315
,SA000138-004,0.0582,,mg/L,3.8,0.0082,-0.0002,0.008,0.0085,0.008
,SA000138-005,0.1242,,mg/L,0.6,0.0175,-0.0003,0.0175,0.0176,0.0174
,CERO CAL,0,,mg/L,28.6,0.0008,-0.0005,0.0007,0.0011,0.0008
,PATRÓN 1,0.5,,mg/L,4,0.0154,0,0.0148,0.016,0.0152
,PATRÓN 2,1,,mg/L,1.9,0.0331,0.0003,0.0333,0.0336,0.0324
,PATRÓN 3,2,,mg/L,0.6,0.0634,0.0002,0.0631,0.0634,0.0638
,PATRÓN 4,5,,mg/L,2.3,0.1621,0.0004,0.16,0.1599,0.1663
,PATRÓN 5,10,,mg/L,0.7,0.3229,0.0006,0.3255,0.322,0.3213
,BLANCO REACTIVO,0,,mg/L,70.1,0.0006,-0.0003,0.0005,0.001,0.0002
,PATRON,0.4898,,mg/L,0.6,0.0154,-0.0009,0.0154,0.0155,0.0153
,SA000138-006,0.1289,,mg/L,2.5,0.0175,-0.0003,0.017,0.0177,0.0177
,SA000138-007,0.2031,,mg/L,0.3,0.0276,-0.0006,0.0276,0.0276,0.0275
,SA000138-008,0.1931,,mg/L,2.2,0.0261,-0.0005,0.0261,0.0256,0.0267
,SA000138-009,0.0789,,mg/L,4,0.0106,-0.0006,0.0109,0.0109,0.0101
,SA000138-010,0.1179,,mg/L,0.9,0.0159,-0.0007,0.0158,0.016,0.0158
,PATRON,0.502,,mg/L,2.2,0.0158,-0.0007,0.0161,0.0154,0.0157
,BLANCO,-0.0085,,mg/L,>100,-0.0003,-0.0008,-0.0005,-0.0004,0
,BLANCO REACTIVO,0,,mg/L,65.4,0.0005,-0.0003,0.0008,0.0002,0.0006
,SA000138-011,0.1693,,mg/L,1.6,0.0229,-0.0005,0.0233,0.0228,0.0226
,SA000138-012,0.1941,,mg/L,1.3,0.0263,-0.0003,0.0259,0.0264,0.0266
,SA000138-013,0.218,,mg/L,1.6,0.0295,-0.0006,0.0299,0.029,0.0297
,SA000138-014,0.2833,,mg/L,2.7,0.0387,-0.0003,0.0385,0.0378,0.0399
,SA000138-015,0.0851,,mg/L,2.4,0.0114,-0.0005,0.0112,0.0113,0.0118
,PATRON,0.5107,,mg/L,1.2,0.016,-0.0011,0.0159,0.0163,0.0159
,SA000138-016,0.0469,,mg/L,7.9,0.0063,-0.0006,0.0063,0.0058,0.0068
,SA000138-017,0.0034,,mg/L,69,0.0003,-0.0008,0.0003,0.0005,0.0001
,SA000138-018,0.298,,mg/L,1.2,0.0406,-0.0007,0.04,0.0408,0.0409
,SA000138-019,0.0051,,mg/L,29.3,0.0007,-0.0009,0.0008,0.0004,0.0008
,SA000138-020,0.168,,mg/L,1.5,0.0227,-0.0007,0.0223,0.0229,0.0228
,BLANCO,-0.0076,,mg/L,40.6,-0.0002,-0.0008,-0.0003,-0.0001,-0.0002
,BLANCO REACTIVO,0,,mg/L,>100,0.0004,-0.0006,0,0.0003,0.001
,PATRON,0.4957,,mg/L,1.8,0.0156,-0.0008,0.0159,0.0153,0.0154
,SA000138-021,0.2328,,mg/L,1.2,0.0316,-0.0005,0.0314,0.032,0.0313
,SA000138-022,0.1638,,mg/L,2.3,0.0221,-0.0007,0.0225,0.0215,0.0223
,SA000138-023,0.1143,,mg/L,0.8,0.0154,-0.0006,0.0153,0.0156,0.0154
,SA000138-024,0.1317,,mg/L,2.6,0.0178,-0.0008,0.0174,0.0177,0.0183
,SA000138-025,0.1788,,mg/L,2,0.0242,-0.0007,0.0247,0.024,0.0238
,BLANCO REACTIVO,0,,mg/L,>100,0.0001,-0.0002,0.0001,-0.0001,0.0004
,PATRON,0.5004,,mg/L,1.3,0.0157,-0.0006,0.0159,0.0155,0.0157
,SA000138-026,0.1719,,mg/L,2.7,0.0232,-0.0002,0.0239,0.0231,0.0227
,SA000138-027,0.2746,,mg/L,1.6,0.0373,0,0.0374,0.0378,0.0367
,SA000138-028,0.2814,,mg/L,0.9,0.0383,0,0.0379,0.0384,0.0386
,SA000138-029,0.219,,mg/L,1.6,0.0296,-0.0005,0.0301,0.0297,0.0291
,SA000138-030,0.1817,,mg/L,3,0.0246,-0.0003,0.0251,0.0237,0.0249
,BLANCO,0.0062,,mg/L,26.2,0.0002,-0.0007,0.0001,0.0002,0.0002
,BLANCO REACTIVO,0,,mg/L,92,-0.0002,-0.0002,-0.0001,-0.0004,-0.0001
,BLANCO REACTIVO,0,,mg/L,72.7,0.0003,-0.0006,0.0002,0.0006,0.0002
