Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Untitled 000,1.749
Comp. Cola Columna,Untitled 000,1.178
Barren,Untitled 000,1.107
Cabeza puntual retorno,Untitled 000,1.812
Celda # 11-A,Untitled 000,0.577
Celda # 11-B,Untitled 000,0.058
Celda # 11-C,Untitled 000,0.432
Celda #5-9,Untitled 000,0.848
Celda #(F1+F2),Untitled 000,1.922
NE Tubo 1,Untitled 000,0.046
NE Tubo 2,Untitled 000,0.286
NE Tubo 4,Untitled 000,2.67
NE Tubo 5,Untitled 000,2.862
NE Tubo 6,Untitled 000,1.125
NE Tubo 7,Untitled 000,1.749
Puntual Noroeste,Untitled 000,1.923
Barren Patios,Untitled 000,0.852
Tubo 3,Untitled 000,2.099
Especial 1,Untitled 000,0.076
Especial 2,Untitled 000,0.027
Especial 3,Untitled 000,0.61
Especial 4,Untitled 000,1.454
Especial 5,Untitled 000,0.101
Especial 6,Untitled 000,0.018
Columna #1,Untitled 000,1.387
Columna #2,Untitled 000,1.347
Columna #3,Untitled 000,1.307
Columna #4,Untitled 000,1.068
Columna #5,Untitled 000,0.771
