Analyst,,,,,,
Date Started,5/1/2025 5:27 AM  GMT: 5/1/2025 12:27 PM,,,,,
Worksheet,LC004358_24,,,,,
Comment,,,,,,
Methods,"Au,Au",,,,,
,,,,,,
Method: Au (Flame),,,,,,
,,,,,,
5/1/2025,6:06:04 AM,PATRON,0.9171,,mg/L,1.6
5/1/2025,6:06:16 AM,BLANCO,0.0039,,mg/L,>100
5/1/2025,6:06:26 AM,REAGENT BLANK,0,,mg/L,>100
5/1/2025,6:06:38 AM,LC004358-001,0.2601,,mg/L,0.7
5/1/2025,6:06:46 AM,LC004358-002,OVER,R,mg/L,0
5/1/2025,6:07:00 AM,LC004358-003,0.0751,,mg/L,7.3
5/1/2025,6:07:14 AM,LC004358-004,0.0071,,mg/L,11.7
5/1/2025,6:07:28 AM,LC004358-005,0.4435,,mg/L,0.4
5/1/2025,6:07:40 AM,LC004358-006,0.3714,,mg/L,1.3
5/1/2025,6:07:56 AM,PATRON,0.9121,,mg/L,0.7
5/1/2025,6:08:08 AM,LC004358-007,0.0349,,mg/L,3.5
5/1/2025,6:08:22 AM,LC004358-008,0.048,,mg/L,0.6
5/1/2025,6:08:36 AM,LC004358-009,0.0842,,mg/L,2.1
5/1/2025,6:08:50 AM,LC004358-010,0.8869,,mg/L,1.3
5/1/2025,6:09:12 AM,LC004358-011,0.0884,,mg/L,1.5
5/1/2025,6:09:26 AM,LC004358-012,0.0554,,mg/L,1.7
5/1/2025,6:09:38 AM,PATRON,0.9191,,mg/L,0.8
5/1/2025,6:09:54 AM,LC004358-013,0.6263,,mg/L,0.1
5/1/2025,6:10:08 AM,LC004358-014,0.1407,,mg/L,1.3
5/1/2025,6:10:22 AM,LC004358-015,0.0062,,mg/L,10.6
5/1/2025,6:10:34 AM,LC004358-016,0.1547,,mg/L,1.5
5/1/2025,6:10:48 AM,LC004358-017,0.1123,,mg/L,0.3
5/1/2025,6:11:02 AM,PATRON,0.9168,,mg/L,1.4
5/1/2025,6:11:16 AM,BLANCO,0.0092,,mg/L,36
5/1/2025,6:11:26 AM,REAGENT BLANK,0,,mg/L,23.5
,,,,,,
Method: Au AU ALTO (Flame),,,,,,
,,,,,,
,,,,,,
5/1/2025,6:19:00 AM,LC004358-002,27.2237,,mg/L,0.6
