Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Au 242.80,0.106
Cabeza puntual retorno,Au 242.80,0.107
Celda #(F1+F2),Au 242.80,0.106
Puntual Noroeste,Au 242.80,0.056
Tubo 3,Au 242.80,0.065
NE Tubo 2,Au 242.80,0.198
NE Tubo 4,Au 242.80,0.024
Especial 1,Au 242.80,0.166
Especial 2,Au 242.80,0.086
Especial 3,Au 242.80,0.024
Especial 4,Au 242.80,0.029
Especial 5,Au 242.80,0.069
Comp. Cola Columna,Au 242.80,0.009
Barren,Au 242.80,0.01
Barren Patios,Au 242.80,0.008
NE Tubo 1,Au 242.80,0.015
NE Tubo 5,Au 242.80,0.028
NE Tubo 6,Au 242.80,0.046
NE Tubo 7,Au 242.80,0.012
Celda # 11-A,Au 242.80,0.062
Celda # 11-B,Au 242.80,0.021
Celda # 11-C,Au 242.80,0.039
Celda # 6-F2,Au 242.80,0.401
Celda #5-9,Au 242.80,0.053
