"Analista",""
"Fecha de inicio","16/12/2025 04:40 p. m.  GMT: 16/12/2025 11:40 p. m."
"Hoja de trabajo","EXP000179-RE_24"
"Comentario",""
"Métodos","Au,Au"

"Método: Au (Llama)"

"16/12/2025","04:54:02 p. m.","BLANCO",0.0029,"","mg/L",">100"
"16/12/2025","04:54:16 p. m.","REAGENT BLANK",0.0000,"","mg/L",">100"
"16/12/2025","04:54:40 p. m.","EXP000176-013",0.3154,"","mg/L",1.1
"16/12/2025","04:54:52 p. m.","EXP000176-014",0.0771,"","mg/L",2.3
"16/12/2025","04:55:04 p. m.","EXP000176-015",0.3243,"","mg/L",0.1
"16/12/2025","04:55:18 p. m.","EXP000176-016",0.2410,"","mg/L",0.5
"16/12/2025","04:55:32 p. m.","EXP000176-018",0.0634,"","mg/L",1.0
"16/12/2025","04:55:44 p. m.","EXP000176-020",0.1159,"","mg/L",1.9
"16/12/2025","04:56:00 p. m.","PATRON",0.8951,"","mg/L",1.4
"16/12/2025","04:56:14 p. m.","EXP000176-021",0.0021,"","mg/L",94.0
"16/12/2025","04:56:28 p. m.","PATRON",0.8908,"","mg/L",1.5
"16/12/2025","04:56:42 p. m.","BLANCO",0.0068,"","mg/L",18.2
"16/12/2025","04:56:54 p. m.","REAGENT BLANK",0.0000,"","mg/L",30.4
"16/12/2025","04:57:16 p. m.","PATRON",0.8808,"","mg/L",0.9
"16/12/2025","04:57:16 p. m.","1","","","mg/L",""

"Método: Au AU ALTO (Llama)"

