Analista,,,,,,
Fecha de inicio,18/12/2025 02:37 p. m.  GMT: 18/12/2025 09:37 p. m.,,,,,
Hoja de trabajo,EXP000183-RE_24,,,,,
Comentario,,,,,,
Métodos,Au,,,,,
,,,,,,
Método: Au (Llama),,,,,,
,,,,,,
18/12/2025,03:11:38 p. m.,BLANCO,-0.0028,,mg/L,>100
18/12/2025,03:11:48 p. m.,REAGENT BLANK,0,,mg/L,50
18/12/2025,03:13:02 p. m.,PATRON,0.9128,,mg/L,0.5
18/12/2025,03:13:32 p. m.,EXP000180-001,0.0558,,mg/L,1.6
18/12/2025,03:13:46 p. m.,EXP000180-002,0.1165,,mg/L,0.7
18/12/2025,03:13:58 p. m.,EXP000180-003,0.0004,,mg/L,>100
18/12/2025,03:14:10 p. m.,EXP000180-004,0.0837,,mg/L,2.7
18/12/2025,03:14:26 p. m.,EXP000180-005,0.1035,,mg/L,0.4
18/12/2025,03:14:40 p. m.,EXP000180-006,0.3066,,mg/L,0.7
18/12/2025,03:15:12 p. m.,PATRON,0.9119,,mg/L,2.1
18/12/2025,03:15:28 p. m.,EXP000180-007,0.3858,,mg/L,0.6
18/12/2025,03:15:40 p. m.,EXP000180-008,0.2039,,mg/L,2
18/12/2025,03:15:54 p. m.,EXP000180-009,0.1587,,mg/L,1
18/12/2025,03:16:10 p. m.,EXP000180-010,0.3174,,mg/L,0.9
18/12/2025,03:24:08 p. m.,EXP000180-012,0.3309,,mg/L,1.5
18/12/2025,03:24:26 p. m.,EXP000180-013,0.155,,mg/L,0.5
18/12/2025,03:24:46 p. m.,PATRON,0.9103,,mg/L,0.9
18/12/2025,03:25:00 p. m.,EXP000180-014,0.4626,,mg/L,1.2
18/12/2025,03:25:18 p. m.,EXP000180-015,0.1975,,mg/L,1.1
18/12/2025,03:25:40 p. m.,EXP000180-016,0.1993,,mg/L,0.5
18/12/2025,03:25:56 p. m.,EXP000180-017,0.1724,,mg/L,0.8
18/12/2025,03:26:14 p. m.,EXP000180-018,0.2509,,mg/L,0.8
18/12/2025,03:26:28 p. m.,EXP000180-019,0.3423,,mg/L,0.5
18/12/2025,03:26:44 p. m.,PATRON,0.8943,,mg/L,1.2
18/12/2025,03:27:00 p. m.,EXP000180-020,0.3339,,mg/L,0.7
18/12/2025,03:27:24 p. m.,EXP000180-021,0.4111,,mg/L,0.5
18/12/2025,03:27:38 p. m.,EXP000180-022,-0.0005,,mg/L,>100
18/12/2025,03:27:58 p. m.,EXP000180-023,1.019,,mg/L,0.3
18/12/2025,03:28:46 p. m.,EXP000180-024,0.0024,,mg/L,57.7
18/12/2025,03:29:02 p. m.,PATRON,0.8997,,mg/L,1.4
18/12/2025,03:29:24 p. m.,BLANCO,0.0093,,mg/L,13.6
18/12/2025,03:29:36 p. m.,REAGENT BLANK,0,,mg/L,>100
18/12/2025,03:29:36 p. m.,BLANCO,,,mg/L,
