Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Untitled 000,1.761
Comp. Cola Columna,Untitled 000,1.053
Barren,Untitled 000,1.194
Cabeza puntual retorno,Untitled 000,1.755
Celda # 11-A,Untitled 000,0.521
Celda # 11-B,Untitled 000,0.057
Celda # 11-C,Untitled 000,0.343
Celda #5-9,Untitled 000,0.684
Celda #(F1+F2),Untitled 000,1.745
NE Tubo 1,Untitled 000,0.069
NE Tubo 2,Untitled 000,0.235
NE Tubo 4,Untitled 000,2.101
NE Tubo 5,Untitled 000,2.512
NE Tubo 6,Untitled 000,0.968
NE Tubo 7,Untitled 000,1.874
Puntual Noroeste,Untitled 000,1.779
Barren Patios,Untitled 000,1.298
Tubo 3,Untitled 000,2.106
Especial 1,Untitled 000,0.093
Especial 2,Untitled 000,0.027
Especial 3,Untitled 000,0.571
Especial 4,Untitled 000,1.398
Especial 5,Untitled 000,0.06
Especial 6,Untitled 000,0.024
Columna #1,Untitled 000,1.665
Columna #2,Untitled 000,1.655
Columna #3,Untitled 000,1.535
Columna #4,Untitled 000,1.3
Columna #5,Untitled 000,1.772
