Analista,,,,,,
Fecha de inicio,16/12/2025 11:14 a. m.  GMT: 16/12/2025 06:14 p. m.,,,,,
Hoja de trabajo,EXP000177_24,,,,,
Comentario,,,,,,
Métodos,"Au,Au",,,,,
,,,,,,
Método: Au (Llama),,,,,,
,,,,,,
16/12/2025,11:48:10 a. m.,PATRON,0.8595,,mg/L,38.7
16/12/2025,11:48:24 a. m.,BLANCO,0.0048,,mg/L,57.1
16/12/2025,11:48:34 a. m.,REAGENT BLANK,0,,mg/L,>100
16/12/2025,11:48:54 a. m.,EXP000177-001,0.5173,,mg/L,0.3
16/12/2025,11:49:06 a. m.,EXP000177-002,1.3468,,mg/L,1
16/12/2025,11:49:14 a. m.,EXP000177-003,OVER,R,mg/L,0
16/12/2025,11:49:26 a. m.,EXP000177-004,0.5933,,mg/L,0.6
16/12/2025,11:49:34 a. m.,EXP000177-005,OVER,R,mg/L,0
16/12/2025,11:49:48 a. m.,EXP000177-006,0.7902,,mg/L,1.1
16/12/2025,11:50:02 a. m.,EXP000177-007,-0.0027,,mg/L,46.8
16/12/2025,11:50:10 a. m.,EXP000177-008,OVER,R,mg/L,0
16/12/2025,11:50:24 a. m.,EXP000177-009,1.5872,,mg/L,0.9
16/12/2025,11:50:36 a. m.,EXP000177-010,1.5654,,mg/L,1.5
16/12/2025,11:50:48 a. m.,EXP000177-011,-0.0008,,mg/L,>100
16/12/2025,11:51:02 a. m.,EXP000177-012,0.1124,,mg/L,0.8
16/12/2025,11:51:16 a. m.,BLANCO,-0.0082,,mg/L,29.8
16/12/2025,11:51:28 a. m.,REAGENT BLANK,0,,mg/L,46.5
,,,,,,
Método: Au AU ALTO (Llama),,,,,,
,,,,,,
,,,,,,
16/12/2025,11:53:10 a. m.,EXP000177-003,1.6055,,mg/L,1.1
16/12/2025,11:53:26 a. m.,EXP000177-005,2.5896,,mg/L,0.2
16/12/2025,11:53:44 a. m.,EXP000177-008,2.0085,,mg/L,0.4
