Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Untitled 000,1.107
Comp. Cola Columna,Untitled 000,0.862
Barren,Untitled 000,0.715
Cabeza puntual retorno,Untitled 000,1.086
Celda # 11-A,Untitled 000,0.051
Celda # 11-B,Untitled 000,0.036
Celda # 11-C,Untitled 000,0.118
Celda # 6-F2,Untitled 000,0.033
Celda #5-9,Untitled 000,3.319
Celda #(F1+F2),Untitled 000,0.777
NE Tubo 1,Untitled 000,0.021
NE Tubo 2,Untitled 000,0.358
NE Tubo 4,Untitled 000,1.557
NE Tubo 5,Untitled 000,1.492
NE Tubo 6,Untitled 000,0.689
NE Tubo 7,Untitled 000,0.587
Puntual Noroeste,Untitled 000,0.812
Barren Patios,Untitled 000,0.779
Tubo 3,Untitled 000,0.441
Especial 1,Untitled 000,0.273
Especial 2,Untitled 000,0.158
Especial 3,Untitled 000,0.048
Especial 4,Untitled 000,0.05
Especial 5,Untitled 000,1.211
