Analista,DESM,,,,,,,
Fecha de inicio,7/7/2022 4:26 PM  GMT: 7/7/2022 9:26 PM,,,,,,,
Hoja de trabajo,SA000024_6,,,,,,,
Comentario,,,,,,,,
Métodos,Ag,,,,,,,
,,,,,,,,
Método: Ag VHAA-Ag (Llama),,,,,,,,
,,,,,,,,
Ag,PATRON,0.9805,,mg/L,0.1015,0.1021,0.1009,0.1014
Ag,BLANCO,0.0013,,mg/L,0.0001,0.0005,0.0003,-0.0004
Ag,BLANCO REACTIVO,0,,mg/L,-0.0003,-0.0007,-0.0004,0.0003
Ag,SA000024-001,0.267,,mg/L,0.0011,0.001,0.0012,0.0011
Ag,SA000024-002,0.1943,,mg/L,0.0008,0.0009,0.0009,0.0006
Ag,SA000024-003,-0.0032,,mg/L,0,-0.0003,-0.0003,0.0005
Ag,SA000024-004,0.2961,,mg/L,0.0012,0.0014,0.0014,0.0009
Ag,SA000024-005,0.4167,,mg/L,0.0017,0.0016,0.0012,0.0023
Ag,SA000024-006,0.5412,,mg/L,0.0022,0.002,0.0024,0.0022
Ag,SA000024-007,0.491,,mg/L,0.002,0.0021,0.0023,0.0018
Ag,SA000024-008,0.8433,,mg/L,0.0035,0.0031,0.0038,0.0036
Ag,SA000024-009,0.5093,,mg/L,0.0021,0.0021,0.0019,0.0023
Ag,SA000024-010,0.2182,,mg/L,0.0009,0.0012,0.0007,0.0008
Ag,PATRON,1.0052,,mg/L,0.104,0.104,0.1044,0.1036
Ag,BLANCO,0.006,,mg/L,0.0006,0.0011,0.0005,0.0002
Ag,BLANCO REACTIVO,0,,mg/L,0.0008,0,0.0012,0.0011
Ag,SA000024-011,0.8276,,mg/L,0.0034,0.0034,0.0033,0.0035
Ag,SA000024-012,0.9966,,mg/L,0.0041,0.0041,0.004,0.0043
Ag,SA000024-013,1.0701,,mg/L,0.0044,0.0043,0.0041,0.0049
Ag,SA000024-014,-0.0527,,mg/L,-0.0002,-0.001,0.0003,0
Ag,SA000024-015,0.7774,,mg/L,0.0032,0.0036,0.003,0.003
Ag,SA000024-016,-0.0345,,mg/L,-0.0001,-0.0003,-0.0003,0.0002
Ag,SA000024-017,1.3569,,mg/L,0.0056,0.006,0.0054,0.0054
Ag,SA000024-018,1.6442,,mg/L,0.0068,0.0063,0.0066,0.0075
Ag,SA000024-019,1.0633,,mg/L,0.0044,0.0041,0.0042,0.0048
Ag,SA000024-020,1.4109,,mg/L,0.0058,0.0052,0.0065,0.0058
Ag,PATRON,0.9974,,mg/L,0.1032,0.1034,0.1038,0.1024
Ag,BLANCO,-0.0064,,mg/L,-0.0007,-0.0008,-0.0008,-0.0004
Ag,BLANCO REACTIVO,0,,mg/L,0.0001,0.0004,-0.0008,0.0007
Ag,SA000024-021,24.2777,,mg/L,0.1009,0.1018,0.1011,0.0997
Ag,PATRON,0.9925,,mg/L,0.1027,0.1027,0.1015,0.1039
Ag,BLANCO,0.0049,,mg/L,0.0005,0.0006,0.0006,0.0003
Ag,BLANCO REACTIVO,0,,mg/L,0.0001,0.0008,0.0001,-0.0006
