"Analista",""
"Fecha de inicio","8/28/2023 11:32 PM  GMT: 8/29/2023 6:32 AM"
"Hoja de trabajo","LC001079-RCK_24"
"Comentario",""
"Métodos","Au,Au"

"Método: Au (Llama)"

"8/28/2023","11:36:06 PM","PATRON",0.9245,"","mg/L"
"8/28/2023","11:36:28 PM","BLANCO",0.0271,"","mg/L"
"8/28/2023","11:36:38 PM","BLANCO REACTIVO REAG",0.0169,"","mg/L"
"8/28/2023","11:36:50 PM","LC001079-001",0.1182,"","mg/L"
"8/28/2023","11:37:02 PM","LC001079-002",0.8280,"","mg/L"
"8/28/2023","11:37:14 PM","LC001079-003",0.0951,"","mg/L"
"8/28/2023","11:37:26 PM","LC001079-004",0.2135,"","mg/L"
"8/28/2023","11:37:38 PM","LC001079-005",0.1578,"","mg/L"
"8/28/2023","11:37:50 PM","LC001079-006",0.6531,"","mg/L"
"8/28/2023","11:38:04 PM","PATRON",0.9179,"","mg/L"
"8/28/2023","11:38:18 PM","LC001079-007",0.0246,"","mg/L"
"8/28/2023","11:38:28 PM","LC001079-008",0.2296,"","mg/L"
"8/28/2023","11:38:40 PM","LC001079-009",0.3224,"","mg/L"
"8/28/2023","11:38:52 PM","LC001079-010",0.0741,"","mg/L"
"8/28/2023","11:39:02 PM","LC001079-011",0.1386,"","mg/L"
"8/28/2023","11:39:14 PM","LC001079-012",0.0478,"","mg/L"
"8/28/2023","11:40:02 PM","PATRON",0.8999,"","mg/L"
"8/28/2023","11:40:16 PM","LC001079-013",-0.0023,"","mg/L"
"8/28/2023","11:40:28 PM","LC001079-014",1.0122,"","mg/L"
"8/28/2023","11:40:40 PM","LC001079-015",0.0479,"","mg/L"
"8/28/2023","11:40:52 PM","LC001079-016",0.0422,"","mg/L"
"8/28/2023","11:41:06 PM","LC001079-017",0.0310,"","mg/L"
"8/28/2023","11:41:16 PM","LC001079-018",0.1246,"","mg/L"
"8/28/2023","11:41:28 PM","PATRON",0.8928,"","mg/L"
"8/28/2023","11:41:28 PM","PATRON","","","mg/L"
