Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Untitled 000,3.001
Comp. Cola Columna,Untitled 000,1.695
Barren,Untitled 000,1.615
Cabeza puntual retorno,Untitled 000,2.850
Celda # 11-A,Untitled 000,7.659
Celda # 11-B,Untitled 000,5.770
Celda # 11-C,Untitled 000,0.860
Celda #5-9,Untitled 000,0.049
Celda #(F1+F2),Untitled 000,1.158
NE Tubo 1,Untitled 000,0.736
NE Tubo 2,Untitled 000,0.880
NE Tubo 4,Untitled 000,1.499
NE Tubo 5,Untitled 000,1.106
NE Tubo 6,Untitled 000,0.263
NE Tubo 7,Untitled 000,1.510
Puntual Noroeste,Untitled 000,1.023
Barren Patios,Untitled 000,1.154
Tubo 3,Untitled 000,0.921
Especial 1,Untitled 000,0.064
Especial 2,Untitled 000,0.041
Especial 3,Untitled 000,0.076
Especial 4,Untitled 000,0.076
Especial 5,Untitled 000,0.043
