Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Au 242.80,0.094
Cabeza puntual retorno,Au 242.80,0.094
Celda # 11-A,Au 242.80,0.063
Celda #5-9,Au 242.80,0.048
Celda #(F1+F2),Au 242.80,0.095
NE Tubo 2,Au 242.80,0.08
NE Tubo 4,Au 242.80,0.046
NE Tubo 5,Au 242.80,0.026
NE Tubo 6,Au 242.80,0.072
NE Tubo 7,Au 242.80,0.044
Puntual Noroeste,Au 242.80,0.09
Tubo 3,Au 242.80,0.171
Especial 1,Au 242.80,0.162
Especial 2,Au 242.80,0.044
Especial 3,Au 242.80,0.004
Especial 4,Au 242.80,0.013
Especial 5,Au 242.80,0.049
Comp. Cola Columna,Au 242.80,0.013
Barren,Au 242.80,0.009
Celda # 11-B,Au 242.80,0.027
Celda # 11-C,Au 242.80,0.002
NE Tubo 1,Au 242.80,0.003
Barren Patios,Au 242.80,0.01
