Analista,,,,,,,,,,
Fecha de inicio,15/01/2023 03:08 a. m.  GMT: 15/01/2023 09:08 a. m.,,,,,,,,,
Hoja de trabajo,SA000039-RE_3,,,,,,,,,
Comentario,,,,,,,,,,
Métodos,Au,,,,,,,,,
,,,,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,
,,,,,,,,,,
,CERO CAL,0,,mg/L,>100,0.0004,-0.0001,-0.0001,0.0005,0.0009
,PATRÓN 1,0.5,,mg/L,2.9,0.0103,0.0009,0.0107,0.0102,0.0101
,PATRÓN 2,1,,mg/L,0.8,0.0236,0.0002,0.0237,0.0237,0.0233
,PATRÓN 3,2,,mg/L,0.4,0.0482,0.0006,0.0481,0.0484,0.0481
,PATRÓN 4,5,,mg/L,1,0.1242,0.0005,0.1228,0.1252,0.1247
,PATRÓN 5,10,,mg/L,1,0.2489,0.0001,0.2462,0.2499,0.2507
,PATRON,0.5548,,mg/L,2.4,0.012,-0.0002,0.0118,0.0124,0.0119
,BLANCO,0.0706,,mg/L,24.1,0.0015,-0.0006,0.0018,0.0015,0.0011
,BLANCO REACTIVO,0,,mg/L,22.2,0.002,-0.0008,0.0024,0.0021,0.0015
,SA000001-021,0.4147,,mg/L,1.2,0.0411,-0.0026,0.0414,0.0414,0.0406
,SA000001-022,0.3301,,mg/L,2,0.0322,-0.0025,0.0316,0.0328,0.0322
,SA000001-023,0.4755,,mg/L,0.8,0.0477,-0.0021,0.0473,0.048,0.0479
,SA000001-024,0.5997,,mg/L,0,0.0615,-0.0021,0.0615,0.0615,0.0616
,SA000001-025,0.2304,,mg/L,1.5,0.022,-0.0025,0.022,0.0217,0.0224
,PATRON,0.532,,mg/L,5.5,0.0115,-0.0024,0.0122,0.0116,0.0109
,SA000001-026,0.3172,,mg/L,1.3,0.0309,-0.0027,0.0312,0.0305,0.031
,SA000001-027,0.3367,,mg/L,0.8,0.0329,-0.0022,0.0327,0.0328,0.0331
,SA000007-007,0.756,,mg/L,0.6,0.0796,-0.0026,0.0791,0.0801,0.0795
,SA000007-008,0.1679,,mg/L,1.9,0.0158,-0.0026,0.0162,0.0156,0.0157
,SA000009-006,0.2217,,mg/L,3.2,0.0211,-0.0022,0.0213,0.0204,0.0217
,PATRON,0.5618,,mg/L,1.1,0.0122,-0.003,0.0121,0.0122,0.0123
,BLANCO,0.0164,,mg/L,18.5,0.0003,-0.0029,0.0004,0.0003,0.0004
,BLANCO REACTIVO,0,,mg/L,5.3,0.0023,-0.0008,0.0022,0.0024,0.0023
,SA000009-007,0.1457,,mg/L,3.8,0.0137,-0.0026,0.014,0.0138,0.0131
,SA000009-008,0.134,,mg/L,0.6,0.0125,-0.0026,0.0124,0.0125,0.0125
,SA000009-009,0.1981,,mg/L,3,0.0188,-0.0022,0.0193,0.0182,0.0188
,SA000009-010,0.1851,,mg/L,1,0.0175,-0.0027,0.0173,0.0175,0.0176
,SA000009-012,0.2164,,mg/L,1.7,0.0206,-0.0026,0.0202,0.0208,0.0208
,PATRON,0.5463,,mg/L,2.7,0.0119,-0.0033,0.0118,0.0116,0.0122
,SA000009-013,0.1894,,mg/L,0.7,0.0179,-0.0029,0.0179,0.018,0.0178
,SA000011-007,0.5856,,mg/L,0.5,0.0589,-0.0028,0.0592,0.0587,0.0587
,SA000013-011,0.0986,,mg/L,4.2,0.0091,-0.0031,0.0095,0.0091,0.0088
,SA000013-012,0.2216,,mg/L,2.2,0.0211,-0.0026,0.0209,0.0208,0.0217
,SA000013-013,0.1295,,mg/L,3,0.0121,-0.0035,0.012,0.0118,0.0125
,PATRON,0.55,,mg/L,6.8,0.0119,-0.003,0.0125,0.011,0.0124
,BLANCO,0.0259,,mg/L,33.3,0.0005,-0.0034,0.0003,0.0006,0.0007
,BLANCO REACTIVO,0,,mg/L,14.5,0.0028,-0.0013,0.0024,0.0032,0.003
,SA000013-014,0.7303,,mg/L,0.9,0.0766,-0.0035,0.0758,0.0769,0.077
,SA000013-015,0.1252,,mg/L,4.7,0.0116,-0.0038,0.0118,0.0121,0.011
,SA000013-016,0.0348,,mg/L,19.5,0.0032,-0.0037,0.0025,0.0034,0.0036
,SA000013-017,0.2963,,mg/L,3.5,0.0064,-0.0034,0.0066,0.0064,0.0062
,SA000017-004,0.0956,,mg/L,5.8,0.0088,-0.0035,0.0082,0.0092,0.0089
,PATRON,0.5244,,mg/L,3.4,0.0114,-0.0036,0.0118,0.0113,0.011
,SA000017-005,0.0741,,mg/L,7,0.0066,-0.0038,0.0068,0.007,0.0061
,SA000017-007,0.9637,,mg/L,0.8,0.1038,-0.0035,0.1031,0.1047,0.1037
,SA000017-008,0.0803,,mg/L,2.4,0.0073,-0.0037,0.0074,0.0075,0.0071
,SA000017-009,0.1065,,mg/L,5.5,0.0098,-0.0037,0.0098,0.0104,0.0093
,SA000017-012,0.1078,,mg/L,2.1,0.0098,-0.0036,0.0099,0.01,0.0096
,PATRON,0.5337,,mg/L,3.3,0.0116,-0.0037,0.0117,0.0111,0.0118
,BLANCO,-0.0285,,mg/L,>100,-0.0006,-0.0032,-0.0013,-0.0001,-0.0004
,BLANCO REACTIVO,0,,mg/L,31.9,0.0026,-0.0009,0.0018,0.0035,0.0026
,,,,mg/L,,,,,,
