Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Untitled 000,0.981
Comp. Cola Columna,Untitled 000,0.616
Barren,Untitled 000,0.567
Cabeza puntual retorno,Untitled 000,0.947
Celda # 11-A,Untitled 000,2.028
Celda # 11-B,Untitled 000,0.116
Celda # 11-C,Untitled 000,0.065
Celda #5-9,Untitled 000,0.081
Celda #(F1+F2),Untitled 000,0.827
NE Tubo 1,Untitled 000,0.027
NE Tubo 2,Untitled 000,0.952
NE Tubo 4,Untitled 000,1.121
NE Tubo 5,Untitled 000,0.706
NE Tubo 6,Untitled 000,1.187
NE Tubo 7,Untitled 000,0.395
Puntual Noroeste,Untitled 000,0.392
Barren Patios,Untitled 000,0.584
Tubo 3,Untitled 000,0.585
Especial 1,Untitled 000,0.138
Especial 2,Untitled 000,0.086
Especial 3,Untitled 000,0.415
Especial 4,Untitled 000,0.344
Especial 5,Untitled 000,0.08
Especial 6,Untitled 000,0.055
Columna #1,Untitled 000,0.805
Columna #2,Untitled 000,0.789
Columna #3,Untitled 000,0.653
Columna #4,Untitled 000,0.634
Columna #5,Untitled 000,0.596
