Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Ag 328.07,0.435
Comp. Cola Columna,Ag 328.07,0.319
Barren,Ag 328.07,0.315
Cabeza puntual retorno,Ag 328.07,0.403
Celda # 11-A,Ag 328.07,0.426
Celda # 11-B,Ag 328.07,0.034
Celda # 11-C,Ag 328.07,0.956
Celda # 6-F2,Ag 328.07,0.187
Celda #5-9,Ag 328.07,0.961
Celda #(F1+F2),Ag 328.07,0.381
NE Tubo 1,Ag 328.07,0.024
NE Tubo 2,Ag 328.07,0.687
NE Tubo 4,Ag 328.07,0.885
NE Tubo 5,Ag 328.07,0.405
NE Tubo 6,Ag 328.07,0.811
NE Tubo 7,Ag 328.07,0.221
Puntual Noroeste,Ag 328.07,0.468
Barren Patios,Ag 328.07,0.316
Tubo 3,Ag 328.07,0.214
Especial 1,Ag 328.07,0.279
Especial 2,Ag 328.07,1.103
Especial 3,Ag 328.07,0.053
Especial 4,Ag 328.07,0.053
Especial 5,Ag 328.07,0.738
