Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Untitled 000,0.561
Comp. Cola Columna,Untitled 000,0.289
Barren,Untitled 000,0.267
Cabeza puntual retorno,Untitled 000,0.561
Celda # 11-A,Untitled 000,0.644
Celda # 11-B,Untitled 000,0.564
Celda # 11-C,Untitled 000,0.055
Celda # 6-F2,Untitled 000,0.08
Celda #5-9,Untitled 000,0.609
Celda #(F1+F2),Untitled 000,0.523
NE Tubo 1,Untitled 000,0.031
NE Tubo 2,Untitled 000,0.226
NE Tubo 4,Untitled 000,0.361
NE Tubo 5,Untitled 000,0.108
NE Tubo 6,Untitled 000,0.213
NE Tubo 7,Untitled 000,0.489
Puntual Noroeste,Untitled 000,0.468
Barren Patios,Untitled 000,0.279
Tubo 3,Untitled 000,0.756
Especial 1,Untitled 000,0.257
Especial 2,Untitled 000,0.04
Especial 3,Untitled 000,0.075
Especial 4,Untitled 000,0.068
Especial 5,Untitled 000,0.139
Especial 6,Untitled 000,0.033
