Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Au 242.80,0.168
Cabeza puntual retorno,Au 242.80,0.170
Celda #(F1+F2),Au 242.80,0.166
Puntual Noroeste,Au 242.80,0.131
Tubo 3,Au 242.80,0.229
Comp. Cola Columna,Au 242.80,0.013
Barren,Au 242.80,0.017
Celda # 11-A,Au 242.80,0.024
Celda # 11-B,Au 242.80,0.003
Celda # 11-C,Au 242.80,0.014
Celda # 6-F2,Au 242.80,0.277
Celda #5-9,Au 242.80,0.076
NE Tubo 1,Au 242.80,0.602
NE Tubo 2,Au 242.80,0.120
NE Tubo 4,Au 242.80,0.020
NE Tubo 5,Au 242.80,0.003
NE Tubo 6,Au 242.80,0.013
NE Tubo 7,Au 242.80,0.127
Barren Patios,Au 242.80,0.018
Especial 1,Au 242.80,0.179
Especial 2,Au 242.80,0.077
Especial 3,Au 242.80,0.011
Especial 4,Au 242.80,0.022
Especial 5,Au 242.80,0.168
