Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Untitled 000,0.36
Cabeza puntual retorno,Untitled 000,0.367
Celda #(F1+F2),Untitled 000,0.389
Puntual Noroeste,Untitled 000,0.431
Tubo 3,Untitled 000,0.676
NE Tubo 2,Untitled 000,0.089
NE Tubo 4,Untitled 000,0.923
Especial 1,Untitled 000,0.02
Especial 2,Untitled 000,0.024
Especial 3,Untitled 000,1.327
Especial 4,Untitled 000,1.386
Especial 5,Untitled 000,0.029
Comp. Cola Columna,Untitled 000,0.195
Barren,Untitled 000,0.227
Barren Patios,Untitled 000,0.239
NE Tubo 1,Untitled 000,0.018
NE Tubo 5,Untitled 000,0.069
NE Tubo 6,Untitled 000,0.019
NE Tubo 7,Untitled 000,0.275
Celda # 11-A,Untitled 000,0.056
Celda # 11-B,Untitled 000,0.02
Celda # 11-C,Untitled 000,0.022
Celda # 6-F2,Untitled 000,0.386
Celda #5-9,Untitled 000,0.077
