Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Untitled 000,1.435
Comp. Cola Columna,Untitled 000,0.617
Barren,Untitled 000,0.576
Cabeza puntual retorno,Untitled 000,1.309
Celda # 11-A,Untitled 000,1.449
Celda # 11-B,Untitled 000,1.134
Celda # 11-C,Untitled 000,0.518
Celda #5-9,Untitled 000,0.777
Celda #(F1+F2),Untitled 000,1.406
NE Tubo 1,Untitled 000,0.06
NE Tubo 2,Untitled 000,0.973
NE Tubo 4,Untitled 000,1.999
NE Tubo 5,Untitled 000,3.002
NE Tubo 6,Untitled 000,2.145
NE Tubo 7,Untitled 000,1.642
Puntual Noroeste,Untitled 000,1.293
Barren Patios,Untitled 000,0.623
Tubo 3,Untitled 000,0.378
Especial 1,Untitled 000,0.391
Especial 2,Untitled 000,0.12
Especial 3,Untitled 000,1.864
Especial 4,Untitled 000,0.863
Especial 5,Untitled 000,0.044
Especial 6,Untitled 000,0.023
Columna #1,Untitled 000,0.655
Columna #2,Untitled 000,0.779
Columna #3,Untitled 000,0.816
Columna #4,Untitled 000,0.766
Columna #5,Untitled 000,0.548
